choice01#0,"""About Luster"""
choice02#0,"""About Luster Gunslash"""
choice03#0,"""About Styles"""
choice04#0,"""About Luster Skills"""
choice05#0,"""About Smart PA"""
choice06#0,"""『武器切り替えＰＡ』について"""
choice_end#0,"""Leave"""
Title#0,"""Luster"""
text0001#0,"""Luster is a Successor Class that focuses on high-speed combat.<br><br>The only weapon type it can use is Gunslash, but it has access to one of three different fighting styles, depending on your weapon's attribute.<br><br><yellow>Zandi Style (Wind or Lightning)<c><br>A speed-oriented style good at evasion and fighting at long range.<br><yellow>Fomel Style (Fire or Dark)<c><br>An attack-oriented style good at close-quarters combat.<br><yellow>Baran Style (Ice or Light)<c><br>A defense-oriented style good at guarding and long-range attacks."""
text0002#0,"""Luster is different from other classes in a number of ways:<br>・Cannot set a subclass<br>(If a Quest has level restrictions that refer to your subclass, only consider the level of your main class.)<br>・Some potentials and Skill Rings have no effect<br>(E.g. Battle Awakening, R/Attack Advance, etc.)<br>・Has its own set of level cap release orders<br>・Support Partners cannot have their class set to Luster"""
Title#1,"""Luster Gunslash"""
text0001#1,"""When a Gunslash is equipped by an Luster, it performs \""Luster Gunslash\"" attacks and PAs instead of normal Gunslash attacks.<br><br>Luster Gunslash lets you use the gun and the sword aspects of the weapon to engage in high-speed battles at any range.<br><br>There are many skills that alter its actions, and you can make yourself more effective in battle by choosing the skills that suit your own fighting style."""
text0002#1,"""Luster Gunslash's normal attack is a quick sword strike.<br><br>Its Weapon Action, <yellow>Evade Shoot<c>, fires a shot while moving in the direction of input. It has invincibility time, which starts as soon as you activate it.<br><br>Its PAs are divided into short-range, which use the sword aspect, and medium- and long-range, which use the gun aspect. Luster Gunslash shows its true value when you choose your attacks carefully based on the battle situation and the distance between you and your enemy."""
text0003#0,"""Luster begins with the skill \""Luster Gunslash Gear\"".<br><br><yellow>Holding one of your attack buttons will consume the Gear Gauge and enhance that attack.<c><br><br>The Gear Gauge fills over time and when you attack enemies.<br><br>① Enhanced Attack<br><yellow>・Hold the normal attack button.<c><br>Performs an attack whose effect depends on your Style.<br><c ff4f3f>※Power is reduced if used with insufficient Gear.<c>"""
text0004#0,"""② Enhanced Shot<br><yellow>・Hold the Weapon Action button.<c><br>Consumes Gear based on how long you hold the button and performs a powerful attack based on your Style.<br><c ff4f3f>※Cannot be activated without at least one level of Gear.<c><br><br>③ Enhanced Arts<br><yellow>・Hold a PA button<c><br>Consumes one level of Gear and activates an additional attack depending on the PA.<br><c ff4f3f>※Power is reduced if used with insufficient Gear.<c>"""
text0005#0,"""Luster Gunslash PAs have different actions based on whether you are entering movement input or not.<br><br>Move Arts<br><yellow>・Use a PA while holding a direction<c><br>Activates an action that moves you around.<br><br>Stay Arts<br><yellow>・Use a PA without holding a direction<c><br>Activates an action that keeps you in place.<br><c ff4f3f>※If you have not learned the class skill \""Stay Arts\"", Move Arts will be used regardless of input.<c>"""
Title#2,"""Styles"""
text0001#2,"""Luster's fighting style changes depending on the attribute of its currently-equipped Gunslash.<br><br><yellow>Zandi Style<c><br>When using a Wind or Lightning Gunslash<br><br><yellow>Fomel Style<c><br>When using a Fire or Dark Gunslash<br><br><yellow>Baran Style<c><br>When using an Ice or Light Gunslash"""
text0002#2,"""Zandi Style is a speed-oriented style that <c 00ffff>increases the speed of Move Arts<c>.<br>Learning certain class skills will give you bonuses for successfully evading and using Move Arts.<br><br>Zandi Attack Enhance<br><yellow>・Hold the normal attack button.<c><br>Generates an area with a suction and stun effect.<br><br><c ff4f3f>※Does not generate the suction and stun area if used with insufficient Gear.<c>"""
text0003#1,"""Zandi Shoot Enhance<br><yellow>・Hold the Weapon Action button.<c><br>Consumes Gear as long as you hold the button and strikes enemies within the targeted area with lightning.<br><br><c ff4f3f>※Cannot be activated without at least one level of Gear.<c>"""
text0004#1,"""Fomel Style is an attack-oriented style that makes you sturdy and powerful for close-quarters combat.<br>Learning certain class skills will give you bonuses for successful Enhanced Arts and for optimal JA timing.<br><br>Fomel Attack Enhance<br><yellow>・Hold the normal attack button.<c><br>Stocks a spear that has a Jellen effect and recovers PP (max. 3 stocked).<br>Stocked spears are fired automatically when using a PA.<br><br><c ff4f3f>※No spears will be generated if activated with insufficient Gear.<c>"""
text0005#1,"""Fomel Shoot Enhance<br><yellow>・Hold the Weapon Action button.<c><br>Consumes Gear to thrust continuously. When you release the button, a powerful attack is performed based on how much Gear you consumed.<br><br><c ff4f3f>※Cannot be activated without at least one level of Gear.<c>"""
