Begin#0,"""/ci1 1 Oh, Bueno, hola. ¿Crees que podrías echarme una mano aquí?"""
Success#0,"""/ci2 1 ...Gracias por la ayuda. Buena suerte en la calle."""
Failure#0,"""/ci4 3 ¡Las cosas se ven mal! Lo siento, tengo que retirarme."""
Dead#0,"""/ci5 3 No... No así..."""
Begin_v2#0,"""/ci1 1 Oh, hola. ¿Crees que podrías echarme una mano?"""
Success_v2#0,"""/ci2 1 ...Gracias por la ayuda. Buena suerte en la calle."""
Failure_v2#0,"""/ci4 3 ¡Las cosas se ven mal! Lo siento, tengo que retirarme."""
Dead_v2#0,"""/ci5 3 No... No así..."""
Begin_7002001_b#0,"""/ci1 2 Uh-oh. Esto no es lo que esperaba..._b"""
Success_7002001_a#0,"""/ci2 1 Uf... Parece que lo logramos._a"""
Failure_7002001#0,"""/ci4 3 Ngh... Creo que podría haber roto algo... Sólo voy a hacer mi camino de regreso a la ciudad, ¿de acuerdo?"""
Dead_7002001#0,"""/ci4 3 No... aquí no..."""
BuddyDead_7002001#0,"""/ci4 3 No... aquí no..."""
Begin_7002001_v3#0,"""/ci1 2 Uh-oh. Esto no es lo que esperaba..."""
Success_7002001_v3#0,"""/ci2 1 Uf... Parece que lo logramos."""
Failure_7002001_v3#0,"""/ci4 3 Ngh... Creo que podría haber roto algo... Sólo voy a hacer mi camino de regreso a la ciudad, ¿de acuerdo?"""
Dead_7002001_v3#0,"""/ci4 3 No... aquí no..."""
BuddyDead_7002001_v3#0,"""/ci4 3 No... aquí no..."""
Begin#1,"""＊＊開始"""
Success#1,"""＊＊成功"""
Failure#1,"""＊＊失敗"""
Dead#1,"""＊＊死亡"""
Begin_v2#1,"""＊＊開始(Ver2)"""
Success_v2#1,"""＊＊成功(Ver2)"""
Failure_v2#1,"""＊＊失敗(Ver2)"""
Dead_v2#1,"""＊＊死亡(Ver2)"""
Begin_7002001#0,"""＊＊開始(Ver無し)"""
Success_7002001#0,"""＊＊成功(Ver無し)"""
Failure_7002001#1,"""＊＊失敗(Ver無し)"""
Dead_7002001#1,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#1,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#1,"""＊＊開始(Ver3)"""
Success_7002001_v3#1,"""＊＊成功(Ver3)"""
Failure_7002001_v3#1,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#1,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#1,"""＊＊相方死亡(Ver3)"""
Begin#2,"""＊＊開始"""
Success#2,"""＊＊成功"""
Failure#2,"""＊＊失敗"""
Dead#2,"""＊＊死亡"""
Begin_v2#2,"""＊＊開始(Ver2)"""
Success_v2#2,"""＊＊成功(Ver2)"""
Failure_v2#2,"""＊＊失敗(Ver2)"""
Dead_v2#2,"""＊＊死亡(Ver2)"""
Begin_7002001#1,"""＊＊開始(Ver無し)"""
Success_7002001#1,"""＊＊成功(Ver無し)"""
Failure_7002001#2,"""＊＊失敗(Ver無し)"""
Dead_7002001#2,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#2,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#2,"""＊＊開始(Ver3)"""
Success_7002001_v3#2,"""＊＊成功(Ver3)"""
Failure_7002001_v3#2,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#2,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#2,"""＊＊相方死亡(Ver3)"""
Begin#3,"""¡Oh, gracias a Dios! Estoy un poco sobre mi cabeza aquí... ¿Crees que podrías echarme una mano para aclarar estos números?"""
Success#3,"""Uf... lo logramos... Muchas gracias. Realmente me salvaste. ¡Nos vemos luego!"""
Failure#3,"""¡Esto es demasiado peligroso! Lo siento, me voy de aquí."""
Dead#3,"""＊＊死亡"""
Begin_v2#3,"""＊＊開始(Ver2)"""
Success_v2#3,"""＊＊成功(Ver2)"""
Failure_v2#3,"""＊＊失敗(Ver2)"""
Dead_v2#3,"""＊＊死亡(Ver2)"""
Begin_7002001_b#1,"""¡Ah, buen punto! <br>Hay demasiados y se hace un poco difícil<br> ¿Te importaría ayudarme?_b"""
Success_7002001_a#1,"""Uf, lo he conseguido. ......<br>Gracias por tu sinceridad, has sido de gran ayuda. <br>¡Nos vemos pronto!_a"""
Failure_7002001#3,"""＊＊失敗(Ver無し)"""
Dead_7002001#3,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#3,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#3,"""＊＊開始(Ver3)"""
Success_7002001_v3#3,"""＊＊成功(Ver3)"""
Failure_7002001_v3#3,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#3,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#3,"""＊＊相方死亡(Ver3)"""
