name010#0,"""아이나"""
text010#0,"""우리 마을로 안내할게.<br>자세한 이야기는 거기서 하자."""
text020#0,"""저쪽 벼랑까지 갈 수 있겠어?"""
Text_Move_Pad#0,"""이동: """
Text_Move_Key#0,"""앞뒤 이동: """
Text_Move_Key2#0,"""좌우 이동: """
Text_Jump#0,"""점프: """
Text_DoubleJump#0,"""2단 점프: """
Text_Sight#0,"""카메라 조작: """
Button_Move_Pad#0,"""<swguidetype T_Moveguide_l>"""
Button_Move_Key#0,"""<%MoveForward><pict 4space><%MoveBack>"""
Button_Move_Key2#0,"""<%MoveLeft><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_DoubleJump#0,"""<%Jump><pict 4space>후 다시<pict 4space><%Jump>"""
Button_Sight_Pad#0,"""<swguidetype T_Moveguide_r>"""
Button_Sight_Key#0,"""마우스 이동"""
