name01#0,"""사라"""
name02#0,"""카브라칸"""
name03#0,"""클라리스 클레이스"""
skit01#0,"""/ci1 1 어디 보자… 이건…<br>정보 데이터 같긴 한데<br>이것만으론 조각나서 읽을 수 없어."""
skit02#0,"""/ci1 1 다른 단말에서 데이터를 모으면<br>복원할 수 있을지도 몰라.<br>작동하는 단말을 찾아보자."""
skit01#1,"""어디 보자… 이건…<br>정보 데이터 같긴 한데<br>이것만으론 조각나서 읽을 수 없어."""
skit02#1,"""다른 단말에서 데이터를 모으면<br>복원할 수 있을지도 몰라.<br>작동하는 단말을 찾아보자."""
skit01#2,"""/ci1 1 …이 단말의 정보도 남아 있네.<br>아까 것까지 합치면, 이게 두 번째<br>데이터인 것 같아."""
skit02#2,"""/ci1 1 정보량으로 보면 조각은 다섯 개.<br>그러니까 앞으로 세 개 남았네."""
skit01#3,"""…이 단말의 정보도 남아 있네.<br>아까 것까지 합치면, 이게 두 번째<br>데이터인 것 같아."""
skit02#3,"""정보량으로 보면 조각은 다섯 개.<br>그러니까 앞으로 세 개 남았네."""
skit01#4,"""/ci1 1 이 단말 정보도 살아 있나 보네.<br>분석은 샤오에게 맡기고, 우리는<br>남은 걸 찾자."""
skit01#5,"""이 단말 정보도 살아 있나 보네.<br>분석은 샤오에게 맡기고, 우리는<br>남은 걸 찾자."""
skit01#6,"""/ci1 1 …지능, 부여, 개조, 원주민.<br>조각난 정보지만, 꺼림칙한 내용이 보여.<br>이것도 맞는 것 같네."""
skit02#4,"""/ci1 1 이걸로 네 번째… 앞으로 하나야.<br>속이 뒤집히는 정보지만<br>제대로 세상에 드러내야 해."""
skit01#7,"""…지능, 부여, 개조, 원주민.<br>조각난 정보지만, 꺼림칙한 내용이 보여.<br>이것도 맞는 것 같네."""
skit02#5,"""이걸로 네 번째… 앞으로 하나야.<br>속이 뒤집히는 정보지만<br>제대로 세상에 드러내야 해."""
skit01#8,"""/ci1 1 이게 마지막 조각 정보네.<br>…실험이니, 실험체니<br>싫은 단어가 오가고 있어."""
skit02#6,"""/ci1 1 어쨌든 이 정도면 충분하겠지.<br>나머지는 샤오에게 맡기기로 하고…"""
skit03#0,"""/ci1 1 어이! 저쪽에 뭔가 있데이!<br>단말 같은 게 보인다!"""
skit04#0,"""/ci1 1 …아직 정보가 더 있을지 몰라.<br>가 보자."""
skit01#9,"""이게 마지막 조각 정보네.<br>…실험이니, 실험체니<br>싫은 단어가 오가고 있어."""
skit02#7,"""어쨌든 이 정도면 충분하겠지.<br>나머지는 샤오에게 맡기기로 하고…"""
skit03#1,"""어이! 저쪽에 뭔가 있데이!<br>단말 같은 게 보인다!"""
skit04#1,"""…아직 정보가 더 있을지 몰라.<br>가 보자."""
skit01#10,"""정보 조각 앞으로 네 개!"""
skit02#8,"""정보 조각 앞으로 세 개!"""
skit03#2,"""정보 조각 앞으로 두 개!"""
skit04#2,"""정보 조각 앞으로 한 개!"""
