11_voice_NPC_5050_101#0,"""Да, мы присуждаем тебя лицензию<br>Mag'а. Мы с нетерпением ждем<br>твоего дальнейшего успеха."""
text02#0,"""……Что ж, теперь когда мы убрали.<br>весь официальный материал с<br>дороги, позвольте мне добавить несколько<br>слов от себя."""
text03#0,"""С этого момента, этот Mag<br>навсегда будет с тобой.<br>Вращивайте его осторожно."""
linewindow0001#0,"""Вы получили \""Лиц. Mag'a.\"""""
tutorial01#0,"""Заказы клиентов"""
tutorial02#0,"""У Ханса теперь доступен новый клиентский<br>заказ.<br><br>Ханса можно найти в зоне врат, к западу<br>от координаторов."""
tutorial03#0,"""У Эмильен теперь доступен новый клиентский<br>заказ.<br><br>Эмильен можно найти в торговой зоне,<br>монументальная площадь."""
tutorial04#0,"""У Эко<br>теперь доступен новый клиентский заказ.<br><br>Эко можно найти в зоне врат, рядом с<br>управляющим классами."""
tutorial05#0,"""У Ио теперь доступен новый клиентский<br>заказ.<br><br>Ио можно найти в торговой зоне,<br>монументальная площадь."""
text00#0,"""Экипировка Mag'а"""
text01#0,"""Владение Mag'ом  само по себе ничего не<br>делает. Mag должен быть экипирован чтобы давать.<br>эффект. Чтобы экипировать Mag, откройте список<br>Mag'ов из главного меню, выберите Mag'a, которого.<br>вы желаете экипировать и выбирете \""Экипировать Mag\"".<br><br>Когда Mag экипирован, это дает вам<br>различыне эффекты, такие как повышение характеристик и поддержку в бою.<br><br>Когда экипирован питомец, ваш Mag скрыт,<br>но его характеристики и эффекты поддержки<br>все равно будут по-прежнему получены."""
