choice01#0,"""Ластар"""
choice02#0,"""Ганслеш ластара"""
choice03#0,"""Стили ластара"""
choice04#0,"""Умения и навыки"""
choice05#0,"""О Smart PA"""
choice06#0,"""Переключение PA"""
choice_end#0,"""Уйти"""
Title#0,"""Ластар"""
text0001#0,"""Ластар - класс-преемник, ориентированный на ведение<br>боя на высокой скорости.<br><br>Ему доступен только один тип оружия - ганслеш, но,<br>в свою очередь, он имеет три разных стиля боя,<br>использование которых зависит от атрибута оружия.<br><br><yellow>Стиль Занди (ветер и молния)<c><br>Скоростной стиль, который хорош для уклонения<br>и ведения боя на дальней дистанции.<br><yellow>Стиль Фомель (огонь и тьма)<c><br>Атакующий стиль, подходящий для ближнего боя.<br><yellow>Стиль Баран (лёд и свет)<c><br>Защитный стиль, который хорош для защиты и<br>дальних атак."""
text0002#0,"""Ластар отличается от других классов<br>по многим моментам:<br><br>・Нельзя выбрать под-класс<br>(Если квест имеет ограничение на уровень<br>под-класса и класса вместе, учитывается только<br>уровень основного класса).<br><br>・Некоторые потенциалы и кольца умений не действуют<br>(Например:<br>Battle Awakening, R/Attack Advance, и т.д.)<br><br>・Имеет свой набор заказов по снятию<br>ограничений уровня<br>・Партнёрам поддержки нельзя выбрать класс ластар."""
Title#1,"""Ганслеш ластара"""
text0001#1,"""Когда ластар экипирует ганслеш, то этот ганслеш<br>начинает выполнять атаки и PA \""Luster Gunslash\""<br>вместо обычных атак ганслешем.<br><br>Ланслеш ластара позволяет использовать<br>огнестрельное оружие и меч одновременно, чтобы вести<br>высокоскоростной бой на любом расстоянии.<br><br>Есть много навыков, изменяющих его движения,<br>и вы можете повысить его эффективность в бою,<br>выбрав те, которые подойдут вашему стилю боя."""
text0002#1,"""Обычная атака ганслеша ластара - быстрый удар мечом.<br><br>Его действие оружия, <yellow>Evade Shoot<c>, стреляет,<br>двигаясь в направлении движения. Во время этого<br>движения просутствует время неуязвимости,<br>начинающееся с момента активации.<br><br>Его Фотон Арты делятся на два типа:<br>PA ближнего боя, использующие лезвие оружия,<br>и PA дальнего боя,<br>задействующие стрелковую часть.<br>Ганслеш ластара появляет свой потениал, когда вы<br>тщательно выбираете свои атаки в зависимости<br>от ситуации и расстояния между вами и противником."""
text0003#0,"""Основы класса ластар начинаются с навыка<br>\""Luster Gunslash Gear\"".<br><br><yellow>При удержании одной из кнопок атаки, шкала Gear<br>израсходуется, усилив атаку.<c><br><br>Шкала Gear заполняется со временем и при<br>атаке врагов.<br><br>① Enhanced Attack<br><yellow>・При удержании кнопки атаки.<c><br>Выполнится атака, эффект которой зависит от<br>выбранного вами стиля.<br><c ff4f3f>※Сила снижается при использвании недостаточного<br>объёма Gear.<c>"""
text0004#0,"""② Enhanced Shot<br><yellow>・Удерживайте кнопку действия оружия.<c><br>Gear расходуется в зависимости от того, как долго<br>вы удерживаете кнопку, и выподняет мощную атаку<br>в зависимости от вашего стиля.<br><c ff4f3f>※Нельзя активировать без хотя бы одной заполненной<br>шкалы Gear.<c><br><br>③ Enhanced Art'ы<br><yellow>・При зажатии кнопки PA<c><br>Расходует одну шкалу Gear и активирует<br>дополнительную атаку в зависимости от Фотон Арта.<br><c ff4f3f>※Сила снижается при использвании недостаточного<br>объёма Gear.<c>"""
