11_voice_NPC_5050_104#0,"""Милашки корабля ARKS ценят<br>ценность чёрного кота?.."""
Kuro_01_020#0,"""Не поймите меня не правильно.<br>Я слежу за своим языком<br>во время миссий."""
Kuro_01_030#0,"""……ただ<br>強いて言わせていただきますと……"""
Kuro_01_040#0,"""私が前を通るたびに<br>「オネーサン、踏んでくださいみャ！」<br>と叫ぶのはやめてほしいものです。"""
Kuro_01_050#0,"""以上です。<br>それでは任務がありますので<br>これにて。"""
11_voice_NPC_5050_104#1,"""Вы завершили тренировочные<br>квесты учебного тренировочного<br>центра ARKS?"""
itsuki_01_020#0,"""各クラスの基本的な立ち回りや<br>フォトンアーツやテクニックの<br>使い方などの確認ができます。"""
itsuki_01_030#0,"""それぞれの練習クエストは<br>何度でも挑戦可能ですので<br>心行くまでお試しください。"""
itsuki_01_040#0,"""いかなるエネミーと遭遇しても<br>万全の備えで臨まれますよう<br>施設を活用いただければと思います。"""
Npc50_01_010#0,"""Извините. Сейчас я работаю,<br>поэтому стараюсь избегать<br>разговоров, не связанных<br>с миссиями."""
Npc50_02_010#0,"""Извините. Сейчас я работаю,<br>поэтому стараюсь избегать<br>разговоров, не связанных<br>с миссиями."""
Npc50_03_010#0,"""Мы стараемся, чтобы правила ARKS<br>были свободными и гибкими<br>на сколько это возможно.<br>Мы хотим, чтобы ARKS была<br>привлекательной организацией."""
Npc50_03_020#0,"""С другой стороны, есть<br>требования к развитию ваших<br>способностей, и вы должны много<br>работать, чтобы добиться<br>прогресса. Своего рода<br>разновидность метода хлыста<br>и пряника."""
Npc50_04_010#0,"""Мы стараемся, чтобы правила ARKS<br>были свободными и гибкими<br>на сколько это возможно.<br>Мы хотим, чтобы ARKS была<br>привлекательной организацией."""
Npc50_04_020#0,"""С другой стороны, есть<br>требования к развитию ваших<br>способностей, и вы должны много<br>работать, чтобы добиться<br>прогресса. Своего рода<br>разновидность метода хлыста<br>и пряника."""
Npc50_05_010#0,"""Мы стараемся, чтобы правила ARKS<br>были свободными и гибкими<br>на сколько это возможно.<br>Мы хотим, чтобы ARKS была<br>привлекательной организацией."""
Npc50_05_020#0,"""С другой стороны, есть<br>требования к развитию ваших<br>способностей, и вы должны много<br>работать, чтобы добиться<br>прогресса. Своего рода<br>разновидность метода хлыста<br>и пряника."""
Npc50_06_010#0,"""Совет служит образцом для членов<br>ARKS, но их выбирают на<br>основании способностей."""
Npc50_06_020#0,"""В конце концов, сами по себе<br>боевые способности не являются<br>лучшим примером для подражания.<br>Мы были созданы всего около<br>40 лет назад. В текущем<br>поколении всё щё довольно много<br>молодых."""
Npc50_06_030#0,"""По крайней мере, мы, как офицеры,<br>должны вести себя<br>дисциплинированно и прилично.<br>Этого требует наше положение."""
Npc50_07_010#0,"""Совет служит образцом для членов<br>ARKS, но их выбирают на<br>основании способностей."""
Npc50_07_020#0,"""В конце концов, сами по себе<br>боевые способности не являются<br>лучшим примером для подражания.<br>Мы были созданы всего около<br>40 лет назад. В текущем<br>поколении всё щё довольно много<br>молодых."""
Npc50_07_030#0,"""По крайней мере, мы, как офицеры,<br>должны вести себя<br>дисциплинированно и прилично.<br>Этого требует наше положение."""
Npc50_08_010#0,"""Совет служит образцом для членов<br>ARKS, но их выбирают на<br>основании способностей."""
Npc50_08_020#0,"""В конце концов, сами по себе<br>боевые способности не являются<br>лучшим примером для подражания.<br>Мы были созданы всего около<br>40 лет назад. В текущем<br>поколении всё щё довольно много<br>молодых."""
Npc50_08_030#0,"""По крайней мере, мы, как офицеры,<br>должны вести себя<br>дисциплинированно и прилично.<br>Этого требует наше положение."""
11_voice_NPC_5050_104#2,"""Что касается Дарк Фальцев,<br>у меня не так много информации."""
Npc50_mb9_020#0,"""Поэтому я не смогу дать ответа<br>ни на какие вопросы, которые<br>могут у вас возникнуть...<br>Приношу мои глубочайшие<br>извинения."""
11_voice_NPC_5050_104#3,"""Что касается Дарк Фальцев,<br>у меня не так много информации."""
Npc50_mb10_020#0,"""Поэтому я не смогу дать ответа<br>ни на какие вопросы, которые<br>могут у вас возникнуть...<br>Приношу мои глубочайшие<br>извинения."""
11_voice_NPC_5050_100#0,"""Похоже, что в прошлом<br>проводилось множество турниров<br>подобных Боевому Чемпионату."""
Npc50_mb11_020#0,"""Однако, что касается правил,<br>они были индивидуальными для<br>каждого участника. Так что это<br>не совсем хороший ориентир."""
11_voice_NPC_5050_100#1,"""Резервные силы ARKS ежедневно<br>развиваются. Думаю, что это<br>очень помогает."""
Npc50_mb12_020#0,"""ですが、最終的には<br>アークス個々人の力量に<br>頼らざるを得ず……すみません。"""
11_voice_NPC_5050_100#2,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb13_020#0,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_100#3,"""アークスのバックアップについても<br>日々、進化しています。<br>新規クラスや新たなスキルなどですね。"""
Npc50_mb14_020#0,"""本当はもっと早く導入したいのですが<br>安全性を考えると、この速度が精一杯。<br>……仕方がないとは言え、すみません。"""
11_voice_NPC_5050_101#0,"""アークス個々の練度については<br>めまぐるしい上昇曲線を描いています。"""
Npc50_mb15_020#0,"""実力者が増えてきているというのは<br>組織としてとても喜ばしいことです。"""
Npc50_mb15_030#0,"""誰も犠牲にならずに、というのは<br>虫のいい話ですが、できる限り<br>それに近づいていければ、と思います。"""
11_voice_NPC_5050_100#4,"""……アークスの管理状況については<br>現在も調整を行っている最中です。"""
Npc50_mb16zeno_020#0,"""でも、安心して下さい。<br>もう貴方の不利益になるようなことは<br>起きません。絶対に、起こさせません。"""
Npc50_mb18_010#0,"""アークスの管理状況について<br>少しずつ落ち着いてきました。"""
11_voice_NPC_5050_104#4,"""ですが全ての対応を終了するには<br>まだ時間がかかりそうです。<br>もう少し、お待ちください。"""
Npc50_mb19_010#0,"""アークスの管理状況ですが<br>新体制に向けての準備が<br>ようやく整いました。"""
Npc50_mb19_020#0,"""今後は万全の体制で、アークスを<br>全面的にバックアップしていきます。"""
Npc50_mb19_030#0,"""とはいえ、まだ始まったばかりです。<br>改善点など多くあるはずです。<br>その時は遠慮なく、言ってください。"""
mb19before_010#0,"""浮上施設への渡航許可ですか？<br>規定の条件を満たしていれば<br>承認しております。"""
mb19before_020#0,"""その条件は、クライアントオーダー<br>『適正能力審査試練・白ノ領域』<br>を達成する事となっております。"""
mb19before_030#0,"""こちらのクライアントオーダーは<br>私が発行しておりますが"""
mb19before_040#0,"""受注条件として、クエストの<br>『白ノ領域探索』が受注可能である<br>必要がありますのでご留意ください。"""
mb21before_010#0,"""採掘場跡への探索許可ですか？<br>規定の条件を満たしていれば<br>承認しております。"""
mb21before_020#0,"""その条件は、クライアントオーダー<br>『適正能力審査試練・海岸』<br>を達成する事となっております。"""
mb21before_030#0,"""こちらのクライアントオーダーは<br>私が発行しておりますが"""
mb21before_040#0,"""受注条件として、クエストの<br>『海岸探索』が受注可能である<br>必要がありますのでご留意ください。"""
Npc50_mb22_010#0,"""新体制へ変わったことによる<br>問題や障害などは、特に起きてません。"""
