name_7400#0,"""Дюадора"""
ssn_014275_0001#0,"""Хорошо. Позволь мне объяснить."""
ssn_014275_0101#0,"""Чего?.. У тебя же не баунсер сейчас."""
ssn_014275_0102#0,"""Если хочешь научиться сражаться, то, может, сменишь<br>свой класс на баунсера у “Координатора классов”."""
ssn_014275_0103#0,"""Кроме того, не забывай про<br>“умения и навыки класса” баунсера."""
ssn_014275_0104#0,"""Но перед этим, давай поговорим о баунсере."""
ssn_014275_0201#0,"""Баунсер - класс, предназначенный для ведения боя<br>на ближней и средней дистанции."""
ssn_014275_0202#0,"""Он особенно искусен в бою в воздухе,<br>умело используя оружие и приёмы."""
ssn_014275_0203#0,"""Ты также можешь вызывать физические и атрибутные Down,<br>чтобы обернуть бой в свою пользу."""
ssn_014275_0204#0,"""Также, как и в случе с любым другим классом, у него имеются<br>важные умения и навыки класса. Прежде всего, не плохо бы<br>освоить “Elemental Decline”."""
ssn_014275_0205#0,"""А пока, я поставлю перед тобой задачу.<br>Попробуй свои силы."""
