name_7400#0,"""Дюадора"""
ssn_014270_0010#0,"""Незнакомое лицо... Хм... Ты точно только прибыл(а) в Централ-Сити."""
ssn_014270_0020#0,"""Как только обучишься чему-то новому, подойди ко мне."""
ssn_014270_0030#0,"""Ты прошёл(ла) долгий путь."""
ssn_014270_0040#0,"""Я Дюадора - инструктор по комбинированным техникам ARKS."""
ssn_014270_0050#0,"""Мне тут рассказывали, что ты, как ARKS,<br>значительно улучшил(а) свои навыки."""
ssn_014270_0055#0,"""Если хочешь узнать о сложных навыках,<br>почему бы тебе не приступить к изучению?"""
ssn_014270_0060#0,"""Ясно... Если захочешь, обратись ко мне ещё раз."""
ssn_014270_0070#0,"""Не давай себе слабину и усердно тренируйся."""
ssn_014270_0080#0,"""Если будешь делать то, чему я тебя научу,<br>у тебя определённо всё получится."""
ssn_014270_0101#0,"""Из тренировки ты должен(на) был(а) понять,<br>что умения и навыки класса важны."""
ssn_014270_0102#0,"""Надеюсь, ты и дальше будешь набираться опыта и<br>самосовершенствоваться. Развивай свои боевые навыки<br>и однажды ты найдёшь свой путь к становлению<br>брейвером."""
ssn_014270_0103#0,"""Надеюсь, ты и дальше будешь набираться опыта и<br>самосовершенствоваться. Развивай свои боевые навыки<br>и однажды ты выйдешь на новый путь комбинированных техник."""
