name_7400#0,"""Дюадора"""
ssn_014271_0001#0,"""Хорошо. Позволь мне объяснить."""
ssn_014271_0101#0,"""Чего?.. У тебя же не брейвер сейчас."""
ssn_014271_0102#0,"""Если хочешь научиться сражаться, то, может, сменишь<br>свой класс на брейвера у “Координатора классов”."""
ssn_014271_0103#0,"""Кроме того, не забывай про<br>“умения и навыки класса” брейвера."""
ssn_014271_0104#0,"""Но перед этим, давай поговорим о брейвере."""
ssn_014271_0201#0,"""Брейвер хорош как для ведения ближнего боя,<br>так и для дальнего."""
ssn_014271_0202#0,"""Чтобы вести бой, на ближних дистанциях используй<br>катану, а на дальних уже лук."""
ssn_014271_0203#0,"""Каждая атака проста, но оставляет глубокие раны."""
ssn_014271_0204#0,"""Также, как и у любого другого класса, брейверу важны его умения<br>и навыки класса. Прежде всего не плохо бы тебе освоить “Brave Combat”."""
ssn_014271_0205#0,"""А пока, я поставлю перед тобой задачу.<br>Попробуй свои силы."""
