sq00_01#0,"""안녕하신가요."""
favs_present_010#0,"""루코트에게서 『그라인더』를 받았습니다."""
favs_present_020#0,"""루코트에게서 『신시사이저』를 받았습니다."""
favs_present_030#0,"""루코트에게서 『포톤 스피어』를 받았습니다."""
favs_present_040#0,"""루코트에게서 『엑스큐브』를 받았습니다."""
favs_present_050#0,"""루코트에게서 『람다 그라인더』를 받았습니다."""
favs_present_060#0,"""루코트에게서 『트라이 부스트 +50%』를 받았습니다."""
favs_present_070#0,"""루코트에게서 『강화 대성공 확률 +50%』를 받았습니다."""
favs_present_080#0,"""루코트에게서 『람다 그라인더×3』을 받았습니다."""
favs_present_090#0,"""루코트에게서 『능력 추가 성공률 +30%』를 받았습니다."""
favs_present_100#0,"""루코트에게서 『트라이 부스트 +100%』를 받았습니다."""
favs_present_add_001#0,"""루코트에게서 『<%skit_text>』를 받았습니다."""
11_voice_NPC_5570_100#0,"""아, 마스터!<br>마침 잘 오셨어요.<br>이걸 받아 주세요."""
favs_after_010#0,"""제 환대의 마음을<br>담은 선물이랍니다."""
favs_after_020#0,"""마스터께는 늘<br>신세를 지고 있으니까요.<br>그 답례도 겸해서 드리는 거예요."""
favs_after_030#0,"""마스터, 앞으로도 부디<br>저희 세 사람을<br>잘 부탁드릴게요!"""
ep6_sq03_01_01#0,"""안녕하신가요, 마스터.<br>건강해 보이셔서 다행이에요."""
ep6_sq03_01_02#0,"""에트왈 클래스에 관한 것이라면<br>무엇이든 물어봐 주세요."""
11_voice_NPC_5570_100#1,"""덕분에 에트왈의<br>홍보 활동이 좋은 반응을 얻었어요.<br>스트라토스에게 감사해야겠네요."""
ep6_sq03_03_02#0,"""아직 많이 미숙하지만<br>서두르지 않고 에트왈을 제대로<br>알려 나가고 싶어요."""
ep6_sq03_03_03#0,"""마스터.<br>앞으로도 잘 부탁드릴게요!"""
11_voice_NPC_5570_101#0,"""또 세 사람이 이렇게<br>함께 웃을 날이 오다니……<br>감사해요!\u3000감격이에요!"""
ep6_sq03_04_02#0,"""줄곧 꿈꿔 왔던 미래로<br>마스터가 이끌어 주셨어요.<br>정말 최고의 마스터세요!"""
11_voice_NPC_5570_100#2,"""앞으로도 꼭 메이드로서<br>마스터를 모실 수 있게 해 주세요.<br>오래도록 잘 부탁드릴게요!"""
ep6_sq04_01_01#0,"""아슬아슬하게나마<br>힘든 때에 맞춰 온 것 같네요."""
ep6_sq04_01_02#0,"""에트왈의 힘을<br>마음껏 사용해 주세요."""
11_voice_NPC_5570_100#3,"""저도<br>마스터께 힘이 될 수 있도록<br>최선을 다할게요!"""
text01#0,"""마스터.<br>어서 오세요."""
11_voice_NPC_5570_101#1,"""전례 없는 위기였지만……<br>마스터와 여러분 곁에서<br>싸울 수 있어 영광이었어요."""
text03#0,"""다음에는 차와 달콤한 구운 과자를 준비해<br>뒤풀이에서 여러분을 정성껏<br>대접하고 싶어요!"""
oct01#0,"""키리토 님이시군요.<br>마스터께 이야기는 들었어요.<br>제 경험으로 말씀드리자면……"""
oct02#0,"""상대를 「알고」,<br>한 수 앞을 「읽고」,<br>자신이 「즐기는」 것……"""
oct03#0,"""이 세 가지가 중요하다고 생각해요.<br>어느 하나라도 빠져선 안 돼요."""
oct04#0,"""그렇군…… 적의 강함을 「알고」,<br>공격을 한 수 앞서 「읽고」,<br>그리고 전투를 「즐긴다」……인가."""
11_voice_NPC_5570_100#4,"""이상이 제가<br>환대에 필요하다고 생각하는<br>메이드의 마음가짐이에요."""
oct06#0,"""메, 메이드의 마음가짐……?<br>난 「강해지는 요령」인 줄 알고<br>듣고 있었는데……"""
11_voice_NPC_5570_104#0,"""어머!\u3000그건 정말 실례했어요.<br>저는 당연히 「메이드의 요령」을<br>알려 드리는 줄 알고……"""
oct08#0,"""메이드의 요령을 말한 거였나……<br>그래도 의외로 참고가 됐어……<br>고마워, 도움이 됐어."""
name01#0,"""키리토"""
