Title#0,"""세계 종언의 구현"""
Explanation#0,"""<%me> 일행은 움직인다.<br>세계 변혁을 이루려는<br>아뎀을 막기 위해.<br>그 뜻을 품고 향하는 곳은<br>어스 가이드 본부 최심부.<br>환창이 모인 곳에서<br>태초의 인간이 기다린다.<br>――――――――――――――――――――<br>실패 조건/전투 불능 후 리타이어 선택"""
StoryExplanation#0,"""<%me> 일행은 움직인다.<br>세계 변혁을 이루려는 아뎀을 막기 위해.<br>그 뜻을 품고 향하는 곳은<br>어스 가이드 본부 최심부.<br>환창이 모인 곳에서<br>태초의 인간이 기다린다."""
SimpleExplanation#0,"""세계 재편을 저지하라!"""
Area0S#0,"""어스 가이드 본부 지하"""
Area0L#0,"""행성 지구\u3000어스 가이드 본부 지하\u3000에어리어 1"""
Area1S#0,"""어스 가이드 본부 지하"""
Area1L#0,"""행성 지구\u3000어스 가이드 본부 지하\u3000에어리어 2"""
Area2S#0,"""어스 가이드 본부 지하"""
Area2L#0,"""행성 지구\u3000어스 가이드 본부 지하\u3000에어리어 3"""
Area3S#0,"""어스 가이드 본부 지하"""
Area3L#0,"""행성 지구\u3000어스 가이드 본부 지하\u3000에어리어 4"""
Area4S#0,"""환창원"""
Area4L#0,"""행성 지구\u3000환창원"""
QuestInfoAreaName#0,"""어스 가이드 본부 지하"""
