name_7200#0,"""Kartevie"""
ssn_012050_0001#0,"""La Torre Central se puede ver prácticamente desde cualquier sitio. Es el edificio emblemático de Ciudad Central."""
ssn_012050_0002#0,"""También sirve como torre de radio de amplio alcance, que es la forma en que la gente puede comunicarse entre sí independientemente de dónde se encuentren"""
ssn_012050_0101#0,"""Hey. Bruder me dio un rápido repaso."""
ssn_012050_0102#0,"""¿Has estado actualizando tu equipo regularmente?"""
ssn_012050_0103#0,"""Pues esta vez, te enseñaré cómo hacer que tu equipo vaya más allá: Romper el límite."""
ssn_012050_0104#0,"""Bueno, en realidad no es tan complicado."""
ssn_012050_0105#0,"""Hay un límite para mejorar cualquier arma o pieza de armadura en el Laboratorio de Objetos."""
ssn_012050_0106#0,"""Te voy a contar cómo cruzar esa barrera, para que puedas llevar tu equipo a su límite absoluto."""
ssn_012050_0107#0,"""En realidad, la experiencia es el mejor maestro para este tipo de cosas. Toma, coge esto y pruébalo en el laboratorio."""
ssn_012050_0201#0,"""Oh, bien. Vuelve a venir si alguna vez cambias de opinión."""
