name_7200#0,"""Kartevie"""
ssn_012051_0104#0,"""Bueno, en realidad no es tan complicado."""
ssn_012051_0105#0,"""Hay un límite para mejorar cualquier arma o pieza de armadura en el Laboratorio de Objetos."""
ssn_012051_0106#0,"""Te voy a contar cómo cruzar esa barrera, para que puedas llevar tu equipo a su límite absoluto."""
ssn_012051_0107#0,"""En realidad, la experiencia es el mejor maestro para este tipo de cosas. Toma, coge esto y pruébalo en el laboratorio."""
ssn_012051_0401#0,"""Espada Prim x10, Monotita x10, y 10000<pict reb_meseta> Meseta adquirida."""
ssn_012051_0402#0,"""Prim Nudillos x10, Monotita x10, y 10000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0403#0,"""Rifle Prim x10, Monotita x10, y 10000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0404#0,"""Prim Ametralladora x10、Monotita x10, y 10000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0405#0,"""Prim Varilla x10, Monotita x10, y 10000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0406#0,"""Varilla Prim x10, Monotita x10, y 10000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0501#0,"""Prim Espada x1, Monotita x2, y 2000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0502#0,"""Prim Nudillos x1, Monotita x2, y 2000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0503#0,"""Rifle Prim x1, Monotita x2, y 2000 <pict reb_meseta> Meseta adquiridos."""
ssn_012051_0504#0,"""Prim Ametralladora x1, Monotita x2, y 2000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0505#0,"""Varilla Prim x1, Monotita x2, y 2000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0506#0,"""Varilla Prim x1, Monotita x2, y 2000 <pict reb_meseta> Meseta adquirida."""
ssn_012051_0407#0,"""Has recibido 10 Primm Katanas, 10 monotite, y 10000 <pict reb_meseta> meseta."""
ssn_012051_0507#0,"""Has recibido 1 Primm Katana, 2 monotite, y 2000 <pict reb_meseta> meseta."""
