11_voice_NPC_5059_101#0,"""Hm... Oh, it's you. Here, take this."""
Npc59_favs_before_020#0,"""It's just getting in my way."""
Npc59_favs_after_010#0,"""You want to thank me? Don't. Killing Darkers is more important."""
Npc59_favs_after_020#0,"""Use what I gave you to hunt more Darkers. That's how you can thank me."""
Npc59_favs_present_010#0,"""Received <yellow>Synthesizer<c> from Revelle."""
Npc59_favs_present_020#0,"""Received <yellow>Shoot Polka<c> from Revelle."""
Npc59_favs_present_030#0,"""Received <yellow>Symphonic Drive<c> from Revelle."""
Npc59_favs_present_040#0,"""Received <yellow>Synthesizer<c> from Revelle."""
Npc59_favs_present_050#0,"""Received <yellow>Wild Rhapsody<c> from Revelle."""
Npc59_favs_present_060#0,"""Received <yellow>Dark Scherzo<c> from Revelle."""
Npc59_favs_present_070#0,"""Received <yellow>Synthesizer<c> from Revelle."""
Npc59_favs_present_080#0,"""Received <yellow>Ooorchestraaa<c> from Revelle."""
Npc59_favs_present_090#0,"""Received <yellow>Quick March<c> from Revelle."""
Npc59_favs_present_100#0,"""Received <yellow>Synthesizer<c> from Revelle."""
Npc59_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Revelle."""
Oku_01_010#0,"""What do you want from me...?<br>Valentine's? Chocolate? I'm not interested."""
11_voice_NPC_5059_100#0,"""You wouldn't want to get something like that from me, would you? Rations are far more useful."""
Oku_01_030#0,"""...I should propose developing chocolate-flavored rations."""
11_voice_NPC_5059_100#1,"""アタシはアークスだからって<br>馴れ合うつもりはないよ。<br>ダーカーを倒せれば、それでいい。"""
11_voice_NPC_5059_100#2,"""アタシはアークスだからって<br>馴れ合うつもりはないよ。<br>ダーカーを倒せれば、それでいい。"""
11_voice_NPC_5059_101#1,"""アークスにとっての誉れとは<br>ダーカーをどれだけ倒したか、だろ？<br>アタシたちは、そのためにいるんだ。"""
11_voice_NPC_5059_101#2,"""アークスにとっての誉れとは<br>ダーカーをどれだけ倒したか、だろ？<br>アタシたちは、そのためにいるんだ。"""
11_voice_NPC_5059_100#3,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_05_020#0,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_100#4,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_06_020#0,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_100#5,"""原生生物には申し訳ない気もするけど<br>ダーカーになっちまうのなら<br>倒してしまうしかないだろう？"""
Npc59_07_020#0,"""その所行に対する罰なんてもの<br>すべてのダーカーを倒した後なら<br>いくらでも受けてやるさ。"""
11_voice_NPC_5059_102#0,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_08_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#1,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb9_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#2,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb10_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_102#3,"""ダーカーめ……またアタシたちの<br>帰るべき場所を襲撃してきやがって……"""
Npc59_mb11_020#0,"""許さない……許せないよ、アレは。<br>絶対に、全てを倒し尽くしてみせる。"""
11_voice_NPC_5059_101#3,"""クラスなんてなんでもいいよ。<br>ダーカーを倒すための力になるんなら<br>なんでもね。"""
11_voice_NPC_5059_101#4,"""デューマン？\u3000ブレイバー？<br>なんでもいいよ、ダーカーを倒すための<br>力になるんなら、なんでもね。"""
11_voice_NPC_5059_101#5,"""デューマン？\u3000ブレイバー？<br>なんでもいいよ、ダーカーを倒すための<br>力になるんなら、なんでもね。"""
11_voice_NPC_5059_104#0,"""……あやしい空気が漂ってるね。<br>面倒くさそうな雰囲気だ。"""
Npc59_mb16_020#0,"""アタシたちはダーカーだけ倒していれば<br>いいはずなのに、何だろうねまったく。<br>面倒なもんだよ。"""
11_voice_NPC_5059_102#4,"""ダーカーだけを倒していれば<br>よかったはずなのに……<br>どうしてこうなっちまうんだか……"""
11_voice_NPC_5059_101#6,"""色々と変わったみたいだね。<br>ま、アタシにはどっちでもいい話だよ。"""
Npc59_mb18_020#0,"""だってそうだろ？<br>ダーカーを殺して全滅させること。<br>それが最優先のはずだ。"""
Npc59_mb21_010#0,"""ダーカーがいくら強くなろうが<br>アタシたちがやることは変わらないよ。"""
Npc59_mb21_020#0,"""ヤツらを殺し続けて、根絶させる。<br>それだけだよ。"""
Kirara_01_10#0,"""パーティー参加の希望者……<br>悪いね、他を当たってくれるかい。"""
11_voice_NPC_5059_100#6,"""せっかく誘ってくれたけど<br>アタシは遠慮しておくよ。"""
Kirara_01_30#0,"""あんたなら分かるだろ。<br>ダーカーを根こそぎ殺し尽くすまでは<br>そういうのは考えられないってこと。"""
Kirara_01_40#0,"""あんたが組んであげたほうが<br>いいんじゃないか？<br>アタシよりもよっぽど向いてるだろ？"""
11_voice_NPC_5059_100#7,"""どんな形であれ、ダーカーは<br>根絶させる。<br>そのためにアタシはここにいる。"""
Npc59_mb23_after_020#0,"""ヤツらの事情なんてどうでもいいよ。<br>アタシが言えることはそれだけ。"""
11_voice_NPC_5059_100#8,"""ダーカーを根絶させないかぎり<br>アタシは喜べない。"""
Npc59_mb24_after_020#0,"""だから、世界という世界全てから<br>ダーカーが消え失せる日まで<br>戦い続けるだけだよ。"""
st01_010#0,"""……あんた、復帰したんだ。<br>そう。"""
st01_020#0,"""ダーカーはまだ根絶できてない。<br>つまりアタシ達の戦いは終わってない。"""
st01_030#0,"""戻ってきたなら、期待させてもらうよ。<br>あんたの働きに。"""
11_voice_NPC_5059_100#9,"""新しい惑星では<br>ダーカーが出ていないんだってね。"""
st01_020#1,"""ダーカーの数が減ってきたとかなら<br>嬉しいけどね、楽観視はしない。"""
st01_030#1,"""ま、なんにせよ<br>アタシはダーカーを殺すだけだよ。<br>存在が抹消されるその日まで。"""
st01_010#1,"""ついにダーカーが、地球ってところにも<br>姿を見せたようだね。"""
st01_020#2,"""今のところ、あくまでダーカーの形を<br>模した偽物的なものって話だけど……<br>そんなのは関係ない。"""
11_voice_NPC_5059_102#5,"""ダーカーは全て殺す。<br>……アタシの目的は、それだけだ。"""
11_voice_NPC_5059_100#10,"""ダーカーは全て殺す。<br>アタシの目的はいつだって変わらない。"""
sq01_010#0,"""……無事に戻ってきたのね。<br>ダーカーを殺す理由がまた増えるかと<br>思ったけど、無事ならそれでいいわ。"""
11_voice_NPC_5059_104#1,"""……もし、もしも。<br>ダーカーの殲滅が成されたとき<br>アタシは何をしようかしらね。"""
11_voice_NPC_5059_101#7,"""危ない感じのが来たね……<br>とんでもない相手だけど<br>それでも……何とかして倒すだけだ。"""
11_voice_NPC_5059_108#0,"""I don't believe for a second that beating this so-called Goddess of Demise is beyond us."""
ep6_sq00_02#0,"""No matter who our enemy is, I'll fight them with all my strength."""
ep6_sq02_01_01#0,"""That Shiva is just playing with us. We musn't get complacent."""
11_voice_NPC_5059_102#6,"""We'll beat her. Whatever it takes."""
11_voice_NPC_5059_100#11,"""ああ、あんたか。<br>無事に終わったんだな、全て。"""
text02#0,"""【深淵なる闇】はダーカーの親玉。<br>そいつを倒したんだから、これ以上<br>ダーカーが生まれることはないんだろ？"""
11_voice_NPC_5059_104#2,"""だったら、あとは残った<br>ダーカーどもを倒すだけ……<br>もう少しだ、待ってておくれ……"""
