Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/mn18 /ci2 2 이츠키, 침착해.<br>냉정하게 대응하면 문제 없다.<br>허나, 이 옷은 진정되질 않는데…"""
Success#1,"""/ci2 2 t5 바다를 만끽하라고?<br>그런 걸로 뭐가 된다는 거지?"""
Failure#1,"""/mn13 …시기가 다소 좋지 않았던 모양이다.<br>미안하지만, 일시퇴각 하도록 하지."""
Dead#1,"""/mn4 큭…<br>나란 놈은…"""
BuddyDead#1,"""/mn11 이츠키…!<br>냉정하게 대응하라고 말했을텐데."""
Begin#2,"""/mn19 /ci2 2 …그건 알겠지만<br>이건 다소, 너무 얇은 것 아닌가?"""
Success#2,"""/mn9 /ci2 2 t5 …과연, 그렇군.<br>그럼, 다음 장소로 향하지."""
Failure#2,"""/mn19 /ci2 2 역시 이 옷으로는<br>생각한 대로 움직일 수가 없군…"""
Dead#2,"""/mn4 큭…<br>이런 곳에서 쓰러질 수는…"""
BuddyDead#2,"""무리 하지 마라.<br>뒤는 내가 맡도록 하지."""
