Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 2 아아, 맡겨둬.<br>그나저나, 이 독특한 단내는<br>아무래도 진정이 되질 않는군…"""
Success#1,"""/ci1 …무사히 끝난 건 다행이지만<br>초콜릿을 배달하는 임무에는<br>도대체 무슨 의미가 있는 걸까."""
Failure#1,"""/mn13 큭, 저 정도의 상대에게<br>밀릴 줄은… 한심하군."""
Dead#1,"""/mn4 큭…<br>방심이 과했나…!"""
BuddyDead#1,"""/mn18 너무 앞으로 나서지 마, RINA.<br>조금 쉬고 있도록 해."""
Begin#2,"""/ci1 2 초콜릿의 준비는 되어 있지만<br>이건, 어쩌자는 임무일까요…"""
Success#2,"""/mn2 /ci1 2 t5 협력 감사합니다.<br>허나, 이 초콜릿은 도대체 누구에게<br>건네면 되는 걸까요…"""
Failure#2,"""/mn2 초콜릿에 대해서는 내버려 두고…<br>임무 실패는, 반성해야 할 일입니다.<br>…면목없습니다."""
Dead#2,"""/mn4 으윽…<br>마토이 님께 폐를 끼칠 수는…!"""
BuddyDead#2,"""/mn2 마토이 님, 무리는 금물입니다!<br>나머지는 저희가!"""
