Begin#0,"""/ci2 1 オーザ開始"""
Success#0,"""/mn1 /ci2 2 オーザ成功"""
Failure#0,"""/mn1 /ci2 2 オーザ失敗"""
Dead#0,"""/mn1 /ci2 2 オーザ自分死亡"""
BuddyDead#0,"""/mn1 /ci2 2 オーザ相手死亡"""
Evolution#0,"""/mn1 /ci2 2 オーザ発展"""
Begin#1,"""/ci1 1 소문의 케이크 가게를 찾고 있었을 터인데<br>이런 상황이 되어버릴 줄은……<br>정말이지 재수가 없군, 나란 놈도."""
Success#1,"""/mn11 /ci1 2 끝났나……<br>……응?\u3000어이, 어디로 갈 셈이지?<br>포스 혼자서는 위험하다고!"""
Failure#1,"""/ci1 2 미안, 이번엔 먼저<br>철수하도록 하지!"""
Dead#1,"""/ci3 1 제길……아직, 케이크 가게를<br>보지도 못했는데<br>이런 곳에서……!"""
BuddyDead#1,"""/ci3 1 칫……젠장!<br>내가 끝까지 지켜낼 수만 있었더라면!"""
Evolution#1,"""/mn22 /ci3 1 칫, 케이크를 찾아<br>왔을 뿐인데!"""
Begin#2,"""/toge /ci2 2 <%me>！<br>우리들도 거들도록 하지!"""
Success#2,"""/toge /ci1 5 이곳은 우리에게 맡겨!<br>너에겐 해야 할 일이 있을 터다<br>앞으로 나아가!\u3000빨리!"""
Failure#2,"""미안……<br>너에게 받은 은혜를 갚지 못했어……!"""
Dead#2,"""젠장……<br>이 정도의 일로……!"""
BuddyDead#2,"""마루!"""
