pr_043010_0010#0,"""……젠장!<br>젠장, 젠장젠장!"""
pr_043010_0020#0,"""뭐냐, 뭐냐고 그건!<br>저런 게 있다는 말은 못 들었어……!"""
pr_043010_0030#0,"""이 내가…… 완전히 당하다니……！<br>이, 아니에 하기토가……!<br>선택받은 인간인 이 내가……!!"""
pr_043010_0040#0,"""이대로라면 마더를 볼 낯이 없어……<br>무엇보다도 내 체면이 걸린 일이야……!"""
pr_043010_0050#0,"""……하지만 아직이다!<br>난 아직 지지 않았어!"""
pr_043010_0060#0,"""내 군대는 불멸의 군대!<br>그렇지, 에메랄드 태블릿!"""
pr_043010_0070#0,"""그걸로 부족하다면<br>더 강한 걸, 더 대단한 걸<br>만들어낼뿐이지! 그렇지!"""
pr_043010_0080#0,"""……자, 흡수해라, 에테르를 흡수해!<br>에메랄드 태블릿!"""
pr_043010_0090#0,"""너는 내가 만들어낸 최고 걸작이다!<br>네 힘은 이 정도로 끝나지 않아!"""
pr_043010_0100#0,"""내 품에서 날아올라<br>그 힘을 보여다오, 에메랄드 태블릿!<br>네 구현에…… 한계는 없다!"""
pr_043010_0110#0,"""후후후, 하하하핫!<br>하하하하하핫!!"""
