un_043090_0001#0,"""A.P.2028/x/xx"""
un_043090_0010#0,"""…뭔가 여러 사람을 만나 봤는데<br>다들 <%me> 보고 이야기할 때<br>정말 기뻐 보여."""
un_043090_0020#0,"""…뭐라고 해야 할지 모르겠지만<br><%me><br>정말로 대단한 사람이구나."""
un_043090_0030#0,"""그렇지 않아"""
un_043090_0040#0,"""더 존경해도 돼"""
un_043090_0050#0,"""아니, 그렇긴 해.<br>적어도 내가 보기엔<br>정말 그렇거든."""
un_043090_0060#0,"""지금 와서 갑자기 태도를 바꾸면<br>상대 입장을 알고 확 바뀐 것 같아서<br>오히려 기분 나쁘지 않아?"""
un_043090_0070#0,"""봐, 또 저러잖아.<br>저렇게 가는 곳마다 인사받고 그러는 거, 좋겠다."""
un_043090_0080#0,"""난 학교에서 꽤 제멋대로 굴었으니까<br>선생님들한테는 평이 좋았지만, 또래한테는<br>별로 녹아들지 못했거든."""
un_043090_0090#0,"""나 스스로도 코오리만 있으면 됐지<br>같은 느낌으로 굴었으니까<br>더더욱 사람이 가까이 안 오게 돼서…"""
un_043090_0100#0,"""그래서 모두가<br><%me> 대하는 모습이<br>좀 부럽네. …그게 다야."""
un_043090_0110#0,"""하아, 나 대체 무슨 말을 하는 걸까.<br>다른 세계에 와서 마음이 약해졌나?<br>나답지 않아, 나답지 않아~."""
un_043090_0120#0,"""누나도 대단해."""
un_043090_0130#0,"""알?"""
un_043090_0140#0,"""그치만 날 구해줬잖아.<br><%me> 못지않게<br>누나도 대단해."""
un_043090_0150#0,"""…고마워, 알."""
