ra_043050_0001#0,"""A.P.241/4/2"""
ra_043050_0010#0,"""그, 지구에 출현하는 괴물…<br>환창종에 대해서 말이죠."""
ra_043050_0020#0,"""대기 중의 에테르가 구현되어<br>괴물의 형태를 띠고 습격해 오고 있습니다."""
ra_043050_0030#0,"""게다가 지구 사람들이 잠재적으로<br>두려워하는 것이나 꺼리는 것들이<br>구현되기 쉽다고 합니다."""
ra_043050_0040#0,"""나쁜 이미지는 잘 사라지지 않는다는 건<br>어느 세계든 똑같은지도 모르겠네요."""
ra_043050_0050#0,"""또한 어디까지나 에테르의 구현이라서<br>에테르를 다룰 소질이 없는 사람들에게는<br>보이지도 않고 영향도 없는 것 같습니다."""
ra_043050_0060#0,"""하지만 방치하면 그 몸을 구성하는<br>에테르의 순도가 점점 높아지고, 일정 수준을 넘으면<br>현실에 간섭할 수 있는 형태가 된다고 합니다."""
ra_043050_0070#0,"""…여담이지만 그렇게 순도가 높아져<br>구현된 환창종을 지구인들은 예로부터<br>「천사」나 「악마」라고 불렀다더군요."""
ra_043050_0080#0,"""그런 뒷이야기보다 더 근본적인 쪽의<br>정보를 모아 와 줬으면 좋겠는데요.<br>…아차, 실례. 푸념은 안 되죠."""
ra_043050_0090#0,"""그 환창종 반응이 요즘 특히 늘어나서<br>아크스가 극비리에 대응하고 있는 상태입니다."""
ra_043050_0100#0,"""정보부가 말하는 「협력자」들의 정보도 참고해서<br>진압 활동을 빠르게 진행하고 있어요.<br>환창종이 말썽을 부리기 전에 정보 공유, 정보 공유죠."""
ra_043050_0110#0,"""참고로 전투 시에는 전용 폐쇄 영역을 전개해서<br>일반인이 들어오지 못하게 하고 있으니<br>마음껏 날뛰어도 괜찮답니다."""
