ra_043010_0001#0,"""A.P.241/4/2"""
ra_043010_0010#0,"""아크스 쉽에 대한 지구에서의 액세스는<br>규모는 작았지만 놀랍게도<br>12년 전부터 있었다고 해요."""
ra_043010_0020#0,"""그리고 2년 전부터는 히츠기 씨처럼<br>이쪽으로 「올 수 있는」사람을 보내서하는<br>조사로 바뀌었죠."""
ra_043010_0030#0,"""12년 전…… 2016년이니까<br>마침 에테르 통신기술이 확립되고<br>전세계에 「에스카」가 퍼졌을 때네."""
ra_043010_0040#0,"""2년 전은……2년 전?<br>지구엔 그렇게 큰 사건은<br>없었던 것 같은데……"""
ra_043010_0050#0,"""……아마도 원인은 지구가 아니라 이쪽이에요.<br>12년 전에도 2년 전에도 지구가 아니라<br>이쪽에 큰 사건이 있었답니다."""
ra_043010_0060#0,"""12년 전에도, 2년 전에도 있었던 일.<br><%me> 씨는 아시겠나요?"""
ra_043010_0070#0,"""마토이 말이야?"""
ra_043010_0080#0,"""【심원의 어둠】 말이야?"""
ra_043010_0090#0,"""확실히 그것도 있지만<br>저는 【심원의 어둠】 부활이 트리거가<br>된 것이 아닌가 분석하고 있습니다."""
ra_043010_0100#0,"""네, 맞아요.<br>【심원의 어둠】의 부활을 트리거로<br>상황이 바뀌고 있다고 분석할 수 있습니다."""
ra_043010_0110#0,"""【심원의 어둠】의 부활 타이밍을<br>지구측이 알아내서 접근법을<br>바꾸고 있는 것이 아닌지."""
ra_043010_0120#0,"""관련성은 밝혀지지 않았지만<br>모인 정보만 가지고 보면<br>그런 답도 생각할 수 있어요."""
ra_043010_0130#0,"""그렇다고 해서 추론의 영역을 벗어나진 못해.<br>미안, 내가 더 많이 알고 있었다면……"""
ra_043010_0140#0,"""아뇨아뇨, 추론만으로도 충분합니다.<br>점이었던 정보가 선으로 연결되고 있다는<br>말이니까요."""
