st_043040_0001#0,"""A.P.241/4/2 15:00"""
st_043040_0010#0,"""Now then, since we've covered what we know, let's go over what we plan to do going forward."""
st_043040_0020#0,"""We're going to wait."""
st_043040_0030#0,"""Are you... sure about that? Shouldn't we be more proactive?"""
st_043040_0040#0,"""All we know about our enemy's plans is that they're targeting Aru. The best we can do is to protect him and watch how they act."""
st_043040_0050#0,"""We're fighting humans this time, not Darkers. Jumping into action with limited intel is a bad move. There's nothing else that we can do."""
st_043040_0060#0,"""For now, I recommend that Hitsugi and Aru deal with any loose ends they might have."""
st_043040_0070#0,"""Once things start happening, you won't have time to take care of personal business."""
st_043040_0080#0,"""Any loose ends..."""
st_043040_0090#0,"""Oh, yes! You have an older brother, don't you Hitsugi? Shouldn't you contact him?"""
st_043040_0100#0,"""Eh- Yes, I do have one, but...<br>How did you know that?"""
st_043040_0110#0,"""Ah- uhh... I kind of guessed! You just look like the kind of person who'd have an older brother, yep!"""
st_043040_0120#0,"""Well, never mind that."""
st_043040_0130#0,"""I guess you're right. My big bro will start to worry if I don't talk to him. I wonder if there's a way to contact him..."""
st_043040_0140#0,"""Well, what are you waiting for? You can go straight to him right now. Am I right, <%me>?"""
st_043040_0150#0,"""Eh... No, but- I thought you said that we're on standby."""
st_043040_0160#0,"""That's the plan for ARKS. You're our guests, not subordinates, so we have no reason to stop you."""
st_043040_0170#0,"""Don't hesitate, Hitsugi. Family deserves personal attention. And of course, we're here to fully support you."""
st_043040_0180#0,"""Thank you, both of you. Well then, I'll meet up with him for a bit. I'm counting on you to back me up."""
