un_045040_0001#0,"""A.P.20xx/x/x"""
un_045040_0010#0,"""…그러니까 새로운 클래스를 만들 때는<br>제대로 다른 클래스 제창자에게도<br>허가를 받아야 해요!"""
un_045040_0020#0,"""그렇게 귀여움만 앞세워 낚아서<br>바운서의 입지를 위태롭게 만드는 클래스는…<br>아크스가 용서해도 이 카토리는 용서하지 않겠사와요!"""
un_045040_0030#0,"""흐음, 그렇게 말해도 곤란한데.<br>이미 서모너는 아크스가 인가한 클래스.<br>이제 와서 취소하는 건 무리라고?"""
un_045040_0040#0,"""그리고 무엇보다도 이 애가 나를 놓아주질 않아!<br>그렇지! 카트린!"""
un_045040_0050#0,"""아하핫, 아파아파, 아프단다 카트린!"""
un_045040_0060#0,"""윽… 어, 어쩜 이리 귀여운…"""
un_045040_0070#0,"""핫! 안 돼요, 안 됩니다 카토리!<br>여기서 마음이 흔들리면 바운서의 수치예요!"""
un_045040_0080#0,"""…아, <%me><br>뭘, 딱히 문제가 생긴 것도 아니야."""
un_045040_0090#0,"""저 서모너 제창자에게<br>카토리가 멋대로 불평하고 있을 뿐."""
un_045040_0100#0,"""서모너라고 했던가?<br>꽤 흥미로운 시도라고 생각한다.<br>사역수를 싸우게 한다는 발상은 내게 없다."""
un_045040_0110#0,"""그리고 클래스 설립의 타이밍도 훌륭하지.<br>만약 카토리가 바운서 시험 운용 담당으로<br>선발되기 전이었다면 귀찮아졌을 테니."""
un_045040_0120#0,"""아직도 변함없이 「게으름 피우기」가 카토리의 신조다.<br>직접 싸우지 않는다 = 편하다고 생각해서<br>서모너에 달려들었을 테니."""
un_045040_0130#0,"""지금은 바운서의 숙련도도 올라갔으니<br>그쪽 적성을 버리기는 아까운 일이야."""
un_045040_0140#0,"""하지만 서모너 쪽이 더 편해 보이니까<br>부러워서 트집 잡고 있는 거지.<br>…뭐 그 정도겠지."""
un_045040_0150#0,"""잠깐, 사가 씨도 뭐 없나요!<br>특훈 바보 씨의 주・문!<br>바운서의 체면이 걸려 있사와요!"""
un_045040_0160#0,"""보세요, 서모너라는 건<br>누가 봐도 본인이 농땡이치려는<br>클래스 아니에요! 치사하다고요!"""
un_045040_0170#0,"""근거 없는 비방을 퍼뜨리지 마라."""
un_045040_0180#0,"""아, <%me> 님!<br><%me> 님도<br>따끔하게 한마디 해주세요!"""
un_045040_0190#0,"""어, 마이 프렌드 아닌가!<br>이걸 봐줘! 카트린은 오늘도 건강해!<br>그쪽 아이들은 어떤가? 건강한가?"""
un_045040_0200#0,"""마, 마이 프렌드…!?<br>설마 <%me> 님도 이미<br>서모너의 마수에 걸려드셨다는 말인가요…!?"""
un_045040_0210#0,"""<%me> 님!<br>저라는 사람이 있는데도, 바운서가 아닌<br>서모너에게 넘어가시다니… 무슨 말씀이신가요!"""
un_045040_0220#0,"""대답에 따라선 저도 서모너가 되겠다는<br>선택지도 있사와요! 그렇죠, 사가 씨!"""
un_045040_0230#0,"""기각이다.<br>자 카토리, 특훈 시간이다."""
un_045040_0240#0,"""어, 아니, 잠깐 아직 제 말은 끝나지 않았어요…<br>그보다 제게도 클래스 선택의 자유를! 자유를!"""
un_045040_0250#0,"""바운서 클래스의 대표자로서의 의무다.<br>권리를 주장할 거면 의무를 다해라."""
un_045040_0260#0,"""특훈이 의무라니, 영문을 모르겠거든요!"""
un_045040_0270#0,"""하하핫, 활기찬 사람이었지 카트린!<br>엄격한 의견이었지만… 안심해 줘!<br>나는 절대로 너를 놓지 않을 테니!"""
un_045040_0280#0,"""알겠어 알겠어 카트린!<br>기쁜 건 알겠으니까 집요하게 정강이를 공격하는 건<br>그만둬 줄래! 아야, 아야얏!"""
