un_043070_0001#0,"""A.P.2028/x/xx"""
un_043070_0010#0,"""시에라, 들어갈게.<br>…아, 역시<br>여기에도 있네, <%me>"""
un_043070_0020#0,"""어머, 사라 씨.<br>무슨 일이신가요, 여기 오시는 일은 드문데."""
un_043070_0030#0,"""복귀했다는 소식을 들어서<br>클라리스 클레이스에게 불린 김에<br><%me> 얼굴 보러 들렀을 뿐이야."""
un_043070_0040#0,"""귀찮은 일에 휘말렸다고 들었는데<br>뭐야, 생각보다 기운차 보이잖아."""
un_043070_0050#0,"""어라?<br>샤오가 안 알려줬나요?"""
un_043070_0060#0,"""들은 건 <%me> 복귀 소식뿐.<br>자세한 건 전혀 없어."""
un_043070_0070#0,"""점점 건성이 되어 가고 있어, 그 녀석 연락.<br>…친척을 대체 뭐라고 생각하는 걸까.<br>아예 확 연을 끊어 버릴까."""
un_043070_0080#0,"""샤오는 건강해?"""
un_043070_0090#0,"""…쓸쓸한가 보네"""
un_043070_0100#0,"""그건 내가 묻고 싶은 말이야.<br>마더 쉽 중추에 틀어박혀서<br>계~속 연산하고 있는 것 같으니 뭐 괜찮겠지."""
un_043070_0110#0,"""쉽 관리 같은 것도 전부 시에라네한테<br>맡겨 두고 있는 것 같고, 그렇죠?"""
un_043070_0120#0,"""…바보 아냐.<br>이제 방치당하는 것도 익숙해졌어."""
un_043070_0130#0,"""게다가 그런 걸 느낄 틈도 없을 정도로 바쁘고.<br>바보 마리아가 잡일 같은 걸 전~부<br>나한테 던져 놓거든."""
un_043070_0140#0,"""그러고 보니 총무부 제출 자료에 대해서<br>상담하고 싶은 게 있었는데<br>괜찮으신가요?"""
un_043070_0150#0,"""아, 시간이라면 별문제 없어…<br>…아니, 잠깐만!<br>샤오한테서 통신!"""
un_043070_0160#0,"""…진짜, 샤오!<br>넌 항상 연락이 너무 갑작스럽다고!"""
un_043070_0170#0,"""…그래서 무슨 일인데? 아무 일도 아니라고?<br>목소리가 듣고 싶어졌다니… 바보 아냐?<br>그럴 거면 얼른 연산 끝내고 나오라고."""
un_043070_0180#0,"""이쪽은 알아서 잘하고 있어. 응, 응.<br>괜찮아, 그쪽도 어떻게 해 뒀어.<br>…알아, 싸움도 안 한다니까."""
un_043070_0190#0,"""그래, 그래, 응, 알았다니까.<br>그런 건 하나하나 확인 안 해도 돼.<br>너야말로 괜찮은 거야?"""
un_043070_0200#0,"""…뭐 딱히 걱정하는 건 아니지만.<br>일단 또 그쪽으로 갈 테니까<br>이번에는 제대로 나와야 돼. 알았지."""
un_043070_0210#0,"""그래그래, 그럼 이만."""
un_043070_0220#0,"""정말, 항상 갑작스럽다니까.<br>미안해, 시에라. 하던 얘기를…"""
un_043070_0230#0,"""…뭐, 뭐야!"""
un_043070_0240#0,"""아니, 뭔가, 뭐라고 할까…<br>…좋네요, 방금 그거."""
un_043070_0250#0,"""읏! 자, 시에라! 빨리 용건!<br>어차피 마리아가 낸 서류 문제잖아!<br>빨리 보여 줘! 빨리!"""
un_043070_0260#0,"""네~, 네네~."""
un_043070_0270#0,"""<%me><br>이런 곳에서 시간 보내지 말고<br>아크스로서 활동! 하고 와!"""
