un_043030_0010#0,"""어머? 어머, 어머어머어머?"""
un_043030_0020#0,"""응… 와앗!?<br>까, 깜짝 놀랐네!"""
un_043030_0030#0,"""후후후, 그렇게 놀랄 필요는<br>없잖아요.<br>리사는 엄연한 아크스라고요오?"""
un_043030_0040#0,"""아니, 아크스든 뭐든<br>갑자기 등 뒤에 서 있으면 누구나<br>깜짝 놀랄 텐데…"""
un_043030_0050#0,"""참고로 리사였다면 묻지도<br>따지지도 않고 쏴 버렸겠죠오."""
un_043030_0060#0,"""깜짝 놀라는 수준이 아니네!"""
un_043030_0070#0,"""후후후… 순진한 반응이라 정말 신선하네요오.<br><%me> 씨의 새 친구분인가요오?"""
un_043030_0080#0,"""사이좋게 지내줘"""
un_043030_0090#0,"""여전하네"""
un_043030_0100#0,"""어머어머어머어?<br>말씀드리지만, 리사는 누구와도 사이좋게<br>오순도순 지내고 있다고 생각하는데요오?"""
un_043030_0110#0,"""뭐, 상대가 어떻게 생각하는지는 모르지만요."""
un_043030_0120#0,"""네, 물론이죠오. 2년이 지나든<br>100년이 지나든 아무리 시간이 지나도<br>사람은 그렇게 쉽게 바뀌지 않으니까 말이에요오."""
un_043030_0130#0,"""그래서 아가씨들은 어느 분들이시죠?"""
un_043030_0140#0,"""난 히츠기.<br>이쪽 작은 애는 알이라고 하는데…"""
un_043030_0150#0,"""이름 말고요오.<br>어・느・분・들・이신가요오?"""
un_043030_0160#0,"""어… 그게…"""
un_043030_0170#0,"""…뭐, 어느 분들이든<br><%me> 씨의 지인이라면<br>괜찮을 테니 딱히 상관없어요."""
un_043030_0180#0,"""…아, 그, 그러세요."""
un_043030_0190#0,"""그보다 어때요? 어때요?<br>친해진 기념으로 리사와 서로 쏴 보는 건?"""
un_043030_0200#0,"""서로 쏘다니… 하?<br>아니, 난 그런 취미 없는데…!"""
un_043030_0210#0,"""…흐으음, 아쉽네요오.<br>쐈을 때 느낌이 아크스랑은 다를 테니까<br>시험해 보고 싶었는데, 아쉬워요."""
un_043030_0220#0,"""마음이 내키면 언제든 말해 주세요.<br>언제든 쏴 드릴 테니까요."""
un_043030_0230#0,"""뭐, 말하지 않아도 쏴 버릴지도 모르지만요오.<br>후후, 후후훗, 후후후후훗…"""
un_043030_0240#0,"""…말하긴 좀 그렇지만<br>아크스는 이상한 사람이 많네."""
un_043030_0250#0,"""하지만 왠지 방금 그 사람<br>우리를 전부 꿰뚫어 본 것 같아서…<br>좀 무서웠을지도… 그렇지, 알?"""
un_043030_0260#0,"""난 안 무서웠어.<br>그보다는 상냥해 보였어."""
un_043030_0270#0,"""엥!?<br>상냥해… 보였나?"""
