ra_043040_0001#0,"""A.P.241/4/2"""
ra_043040_0010#0,"""마더 클러스터에 대해서인데요<br>정보부도 이건 그다지 자세히<br>파악하지는 못한 것 같네요."""
ra_043040_0020#0,"""즉 히츠기 씨가 가진<br>정보에 기댈 수밖에 없어요."""
ra_043040_0030#0,"""그렇게 기대해도…<br>나도 거의 몰라."""
ra_043040_0040#0,"""간부니, 사도니<br>그런 걸 들어본 적도 없었어."""
ra_043040_0050#0,"""마더 클러스터에 들어간 것도<br>어느 날 갑자기 마더한테 연락이 와서<br>회원제 SNS에 초대받았을 뿐."""
ra_043040_0060#0,"""처음엔 반신반의했지만, 마더 말은<br>언제나 맞았고 실제로 PSO2 안에<br>들어갈 수도 있게 돼서…"""
ra_043040_0070#0,"""…마더를<br>믿게 되었어.<br>대단해, 뭐든지 알고 있구나 싶어서."""
ra_043040_0080#0,"""내가 아는 다른 소속자는<br>우리 학교 학생회 멤버랑…<br>…코오리뿐."""
ra_043040_0090#0,"""결국 내가 아는 건 그게 다야.<br>그것 말고는 아무것도 몰라."""
ra_043040_0100#0,"""…나는 안다고 착각했어.<br>나 자신은 아무것도 바뀌지 않았는데<br>바뀐 줄 알았어."""
ra_043040_0110#0,"""…아무것도 얻은 게 없는데<br>뭔가를 얻은 줄 알았어."""
ra_043040_0120#0,"""누구나 그래"""
ra_043040_0130#0,"""모르는 게 있어야 더 재미있어"""
ra_043040_0140#0,"""<%me> 씨 말씀대로<br>모르는 걸 자각하고, 알려고 노력하는 것.<br>그런 마음가짐이 더 중요하답니다."""
ra_043040_0150#0,"""…저도 그 말, 들은 적 있어요.<br>그쪽이 더 재미있다고도 생각하고요."""
ra_043040_0160#0,"""…누나.<br>모르는 게 있다는 게<br>그렇게 나쁜 일이야?"""
ra_043040_0170#0,"""그러면 내가 가장 나빠.<br>나 자신도, 주변도<br>아무것도 모르고 알지도 못하니까…"""
ra_043040_0180#0,"""…알."""
ra_043040_0190#0,"""괜찮아요, 히츠기 씨.<br>저희도 마찬가지니까요."""
ra_043040_0200#0,"""지금부터라도 늦지 않았어요.<br>여러 가지를 알기 위해 함께 배워 가요."""
ra_043040_0210#0,"""…응."""
