text01001#0,"""안녕!<br>기념행사의 계절이 드디어 왔네!"""
text01002#0,"""이이번 축하 이벤트는<br>다같이 즐겁게 추억을 되돌아 보는<br>느낌으로 만들까 생각중이야!"""
11_voice_NPC_5097_100#0,"""그래서 취재나 아이디어를<br>내기 위해 노력중인데…<br>도와준다면 엄청 기쁠거야!!"""
text01003#0,"""그런 이유로 이런저런<br>협력을 해주면 기쁠거야…!"""
text02001#0,"""진행은 좀 어때?<br>언제든지 기다릴게!"""
11_voice_NPC_5097_100#1,"""항상 네 덕분에 큰 도움이 됐어!<br>이번에도 의지하고 있지만<br>무리는 하면 안돼!"""
text02002#0,"""아, 그래도 무리는 하지 마!<br>모처럼 여름인데 쉬어가면서<br>즐기지 않으면 손해니까!"""
text03001#0,"""아크스는 지금 힘든 상황이지만,<br>적어도 축하 이벤트때 만큼은<br>밝은 얼굴이 됐음 좋겠어!"""
11_voice_NPC_5097_101#0,"""모두 함께 보내는<br>즐거운 시간을 위해<br>이벤트 기획, 노력 할게!"""
11_voice_NPC_5097_105#0,"""으으… 덥다 더워!<br>여름엔 즐거운 일이 많지만<br>녹아버릴 것 같네!"""
text03002#0,"""그럼에도 불구하고<br>부탁을 들어줘서 고마워!<br>수분 섭취와 휴식도 잊지마, 알겠지!"""
11_voice_NPC_5097_100#2,"""이번 이벤트를 통해<br>다같이 성대하게 축하하고 떠들고<br>즐거운 추억으로 만들고 싶어!"""
text04002#0,"""준비하는 동안에도<br>다들 즐겁게 웃는 얼굴을 상상하니<br>두근두근 거려!"""
11_voice_NPC_5097_104#0,"""이것저것 다 해보고 싶어…!<br>이벤트 계획으로 머리가 가득찼어!"""
11_voice_NPC_5097_101#1,"""이런저런 부탁을 다 들어줘서<br>정말 정말 고마워!"""
text05002#0,"""이것도 저것도 무척 안심이 되네!<br>최고의 이벤트가 될 것 같은 느낌이 들어!"""
11_voice_NPC_5097_100#3,"""축하하는 분위기도<br>점점 고조되어 가니까<br>꼭 기대해줘!"""
text05003#0,"""정말, 정말로 수고했어!<br>여름의 추억을 장식할 최고의 이벤트…<br>다함께 즐길 수 있으면 좋겠네!"""
11_voice_NPC_5097_112#0,"""안녕!<br>이제 곧 기념행사의 계절이네!"""
11_voice_NPC_5097_100#4,"""이번에는 항상 노력하고 있는<br>모두를 위해 피로를 풀 수 있도록 두근두근<br>거리는 이벤트가 됐으면 좋겠어!"""
text03#0,"""준비를 하기 위해선 네가<br>도와줬으면 하는 일이 있는데…<br>부탁해도 될까?"""
11_voice_NPC_5097_100#5,"""항상 도와줘서 고마워!!<br>이번에도 부탁할게!"""
text01#0,"""항상 아크스 여러분은<br>엄청, 엄청 열심히 하고 있어!"""
text02#0,"""그래서 잠시나마<br>이 축하 이벤트로<br>설레였으면 하는 바램이 있어!"""
11_voice_NPC_5097_100#6,"""이 이벤트에서 모두가<br>엄청 즐거운 기분이 들도록<br>나도 노력해야겠어!"""
text01#1,"""축하를 하기 위해선<br>이것저것 많이 필요해!<br>뭐부터 준비해야 할지 고민되네!"""
11_voice_NPC_5097_100#7,"""수고 많았고 고맙단 마음을<br>모두에게 전해기 위해서 꼭<br>이 이벤트를 성공시키는 거야!"""
11_voice_NPC_5097_100#8,"""도와줘서 정말 고마워!<br>엄청 큰 도움이 됐어!"""
text02#1,"""응, 이걸로 준비 완료!<br>모두가 기뻐할 멋진 이벤트가<br>될 수 있어!"""
11_voice_NPC_5097_101#2,"""아 물론 너도!<br>정말 정말 축하하고<br>잔뜩 즐겨줬으면 해!"""
