un_039130_0001#0,"""A.P.239/5/4"""
un_039130_0010#0,"""Ah... Umm... You two..."""
un_039130_0020#0,"""... What are you doing here, Claris Claes. Aren't you supposed to be at Naberius?"""
un_039130_0030#0,"""Hmph. That's my line. Weren't you supposed to report about your mission on Naberius?"""
un_039130_0040#0,"""I finished my report already, so there's no problem with me being here right?"""
un_039130_0050#0,"""I'm the same as you! Besides, I have business with my predecessor."""
un_039130_0060#0,"""Oh, too bad, I also have business with her."""
un_039130_0070#0,"""So to say, you kept calling her your \""predecessor\"", isn't time you stop doing that and call Matoi by her name?"""
un_039130_0080#0,"""She's my predecessor, so it's fine. Besides aren't you abit rude calling her without honorifics Sara?"""
un_039130_0090#0,"""There's no problem with that. Matoi doesn't mind it at all."""
un_039130_0100#0,"""Who knows-? Maybe she doesn't like it? Isn't that right predecessor?"""
un_039130_0110#0,"""Even so, without saying anything, she probably doesn't like you calling her by that. Right Matoi?"""
un_039130_0120#0,"""...Well, I think I don't mind being called without honorifics or being called predecessor-..."""
un_039130_0130#0,"""Make youself clear!"""
un_039130_0140#0,"""Make youself clear!"""
un_039130_0150#0,"""S-sorry!"""
un_039130_0160#0,"""Urgh, why are they angry at me?"""
un_039130_0170#0,"""Oh... <%me>! Help! I don't know what to do!"""
un_039130_0180#0,"""1. What are you doing?"""
un_039130_0190#0,"""2. Both of them probably have a goal."""
un_039130_0200#0,"""I don't know either. Both of them suddenly came to me and started arguing with each other."""
un_039130_0210#0,"""... Their goal?"""
un_039130_0220#0,"""... Ah."""
un_039130_0230#0,"""... Ah."""
un_039130_0240#0,"""Oh yeah, that's right. I didn't come here to argue with this moron."""
un_039130_0250#0,"""I also didn't come here to argue. I just got caught with Sara's quarrel."""
un_039130_0260#0,"""Umm, both of you said you have business with me right? Did I do something wrong?"""
un_039130_0270#0,"""No, that's not it!"""
un_039130_0280#0,"""Predecessor didn't do anything wrong!"""
un_039130_0290#0,"""Then... What is it?"""
un_039130_0300#0,"""Here!"""
un_039130_0310#0,"""Here!"""
un_039130_0320#0,"""... Aren't these flowers that bloom in Naberius?"""
un_039130_0330#0,"""I thought of you and picked these up...!"""
un_039130_0340#0,"""I picked these up, thinking of predecessor..."""
un_039130_0350#0,"""Why did you two..."""
un_039130_0360#0,"""I was in your care back then. So I wanted to give you something as my graditude."""
un_039130_0370#0,"""But, I didn't know what to give you. When I thought of something you would like, I picked these up."""
un_039130_0380#0,"""I thought of giving you something better than this but..."""
un_039130_0390#0,"""Other than that, I thought that these were nice."""
un_039130_0400#0,"""I love these flowers. Right, <%me>?"""
un_039130_0410#0,"""Both of you, thank you. I'm soo happy"""
un_039130_0420#0,"""... But, what I really like about it, were your feelings."""
un_039130_0430#0,"""They're really warm... thank you."""
