st_057090_0010#0,"""클라리사의 안내로<br>이스=아르스에 도착한 수호휘사."""
st_057090_0020#0,"""뜻밖의 적들과 마주치면서도<br>그들을 쓰러뜨리고 수도로 나아간다."""
st_057090_0030#0,"""하지만 길을 막는 것은<br>마신성뿐만이 아니었다."""
st_057090_0040#0,"""【쌍자】의 부하인<br>장난감 형태의 다커까지 나타났다."""
st_057090_0050#0,"""한시라도 빨리 이 사태를 해결하려<br>수호휘사는 서둘렀다."""
st_057090_0060#0,"""그 앞을 즐거운 듯 몇 번이고 막아서는<br>플로와 꼭 닮은 【쌍자】."""
st_057090_0070#0,"""마치 놀이를 하듯.<br>아득한 옛날을 떠올리듯."""
st_057090_0080#0,"""매복……일까요.<br>……그보다는<br>약속 장소에서 기다리는 것 같지만요."""
st_057090_0090#0,"""앗, 왔다 왔다, 왔네!<br>기다렸어!"""
st_057090_0100#0,"""후후후, 아하하!<br>놀 상대가 잔뜩이야!"""
st_057090_0110#0,"""자, 놀자. 모두 함께 놀자!<br>못 놀았던 만큼, 앞으로 못 놀 만큼<br>잔뜩, 잔뜩, 온 힘을 다해서!"""
st_057090_0120#0,"""적의가 아니라<br>그저 천진하게 놀려는 거예요……"""
st_057090_0130#0,"""후후, 후후후후!<br>정말 정말 즐겁다!<br>예전과는 완전히 달라!"""
st_057090_0140#0,"""검사는 재미없어어!<br>이제 검사 싫어어!"""
st_057090_0150#0,"""떼쓰지 마.<br>갑자기 물건을 부수는 건<br>플로도 원하지 않잖아."""
st_057090_0160#0,"""물건이면 그나마 괜찮아.<br>언젠가는 사람까지 망가뜨릴 거야.<br>……나는 그게 싫어."""
st_057090_0170#0,"""쳇……그럼 클라리사!<br>검사하는 동안 이야기해 줘!"""
st_057090_0180#0,"""이야기?"""
st_057090_0190#0,"""엄청난 걸 찾았지?<br>들었어. 여기저기서<br>다들 이야기하더라!"""
st_057090_0200#0,"""물이 클라리사 모습으로 변했대!<br>엄청난 일이라고!<br>다들 난리였어."""
st_057090_0210#0,"""아, 그 행성에 갔을 때 이야기구나."""
st_057090_0215#0,"""그건……그래, 놀라운 일이었어."""
st_057090_0220#0,"""그리고 그곳에서 얻은 지식도<br>놀라운 것이었지."""
st_057090_0230#0,"""우리 기술은 눈부시게 발전할 거야.<br>수명도 늘고 연구도 진전되겠지."""
st_057090_0240#0,"""그리고 아마 플로.<br>플로가 지닌 특별한 힘의 원인도……<br>그 물이 알려 준 내용 속에 있을 거야."""
st_057090_0250#0,"""그 물? 그럼 물이 여자아이야?"""
st_057090_0260#0,"""……내 모습을 하고 있었으니<br>여자아이가 아니라면 서운하겠네."""
st_057090_0270#0,"""아아, 즐거웠어.<br>역시 노는 건 정말 즐거워.<br>더 많이, 잔뜩 놀아야지."""
st_057090_0280#0,"""방금 건……"""
st_057090_0290#0,"""플로의 과거……?"""
st_057090_0300#0,"""<%me> 씨?<br>뭘 본 거예요?"""
st_057090_0310#0,"""루서 때와 같은……광경.<br>그리고 그 내용은……"""
st_057090_0320#0,"""플로와 클라리사 씨의 과거.<br>그건……포토너가<br>시온을 만나기 전의……?"""
st_057090_0330#0,"""……안타깝지만 그 기억에 관해<br>저는 아는 것이 없습니다.<br>플로도 아마 마찬가지일 겁니다."""
st_057090_0340#0,"""다만 공통점이 있다면<br>플로가 태어날 때부터<br>압도적인 힘을 지녔다는 것입니다."""
st_057090_0350#0,"""그래서 플로는 최고 상징으로 뽑혀<br>몸과 마나를 나라를 위해<br>바치게 된 것이니까요……"""
st_057090_0360#0,"""서두르죠, 수호휘사님."""
name01#0,"""？？？"""
name02#0,"""？？？"""
