st_057080_0010#0,"""이 아이가, 특이 체질이라는……"""
st_057080_0020#0,"""응?<br>누구야?"""
st_057080_0030#0,"""나는……클라리사.<br>플로, 전담 연구원이야."""
st_057080_0040#0,"""연구? 또 쓸데없는 짓을 해?<br>어차피 아무것도 모르면서?"""
st_057080_0050#0,"""……그렇네.<br>플로에게는 그럴지도 몰라.<br>우리는 아직 아무것도 모르니까."""
st_057080_0060#0,"""그럼 놀자.<br>그런 쓸데없는 일 말고 놀자."""
st_057080_0070#0,"""나는 더 놀고 싶어.<br>여기저기 가서 온갖 이야기를 하고<br>더더 많이 놀러 다니고 싶어."""
st_057080_0080#0,"""그렇……겠지.<br>하지만 그럴 수는 없어.<br>플로는 특별하니까."""
st_057080_0090#0,"""……아아, 즐거웠어.<br>자, 다음 장소로 갈까?<br>다음 놀이를 할까?"""
st_057080_0100#0,"""더더 많이 놀고 싶어.<br>상대는 여기저기 잔뜩 있어.<br>어디서든 잔뜩 만들 수 있어."""
st_057080_0110#0,"""아아, 정말 즐겁다.<br>놀 상대가 잔뜩 있어, 잔뜩.<br>모두 더 즐겁게 놀자. 아하하하하!"""
st_057080_0120#0,"""【쌍자】 반응이 사라졌어요……<br>주변에서 마물 반응도 사라졌지만<br>……쓰러뜨린 건 아닙니다."""
st_057080_0130#0,"""방금 건 뭐였지?"""
st_057080_0140#0,"""플로의 가짜……?"""
st_057080_0150#0,"""……플로의 마음.<br>그 밑바닥에 깔린 외로움이 낳은<br>또 한 명의 플로입니다."""
st_057080_0160#0,"""또 한 명의 플로……?"""
st_057080_0170#0,"""쿠엔트는 소환, 베른은 강화.<br>에픽은 마음 조종, 그리고<br>이스=아르스는 증식에 뛰어납니다."""
st_057080_0180#0,"""하나를 둘로, 둘을 넷으로.<br>그 일을 거듭해 만들어진<br>통상 연합국 이스=아르스."""
st_057080_0190#0,"""원하는 것을 늘린다.<br>바라는 것을 늘린다.<br>그것이 이 나라 밑바탕에 깔린 원리입니다."""
st_057080_0200#0,"""하지만 플로는 최고 상징이 될 아이였습니다.<br>플로가 배운 지식 속에는 친구가 없습니다."""
st_057080_0210#0,"""그래서 자기 자신을 친구로 만들어 냈습니다.<br>외로움을 달래기 위해.<br>……함께 놀 상대로 삼기 위해."""
st_057080_0220#0,"""이 나라도 플로도<br>어쩌다 이렇게……"""
st_057080_0230#0,"""……저도 모릅니다.<br>나라가 생겨난 때까지 거슬러 올라가야<br>태초의 외로움이 생긴 이유를 알 수 있습니다."""
st_057080_0240#0,"""저는 나라 안에서 나라와 함께 살아왔습니다.<br>그래서 이 상황이 이상하다는 걸 몰랐습니다.<br>……지금은 그렇게 생각합니다."""
st_057080_0250#0,"""태초의 외로움……"""
st_057080_0260#0,"""방금 본 광경은……"""
name01#0,"""？？？"""
name02#0,"""？？？"""
