st_057110_0220#0,"""돌아왔구나, 클라리사."""
st_057110_0230#0,"""데려와 줬네.<br>내가 놀 상대 말이야."""
st_057110_0240#0,"""데려왔다니……클라리사 씨!?<br>대체……!"""
st_057110_0250#0,"""……맞습니다.<br>저도 이미 죽은 몸입니다."""
st_057110_0260#0,"""지금의 저는 플로가 만들어 낸 존재.<br>플로의 뜻대로 움직이는 존재입니다."""
st_057110_0270#0,"""플로가 친구를 원하면<br>그 친구를 데려온다. 그것이 제 임무입니다."""
st_057110_0280#0,"""모두를 속인 건가?"""
st_057110_0290#0,"""구하고 싶다는 말은 거짓이었어?"""
st_057110_0300#0,"""…………그건."""
st_057110_0310#0,"""잠깐, 나를 무시하지 마!<br>이제 방해돼, 클라리사!"""
st_057110_0320#0,"""클라리사 씨!?<br>어디로 보낸 거예요!"""
st_057110_0330#0,"""으응? 클라리사를 만나고 싶어?<br>그런 건 얼마든지 만들 수 있어.<br>봐."""
st_057110_0340#0,"""그렇지?"""
st_057110_0350#0,"""！？"""
st_057110_0360#0,"""클라리사만 있는 게 아니야.<br>나는 친구가 아주 많거든!"""
st_057110_0370#0,"""봐, 굉장하지?<br>놀 상대를 잔뜩<br>만들어 낼 수 있어!"""
st_057110_0380#0,"""증식 마술……? 모방체……?<br>아니, 그런 정도가 아니에요."""
st_057110_0390#0,"""설마 아카식 레코드의 기록에서<br>만들어 내는 건가요!?"""
st_057110_0400#0,"""……그럼 같이 놀자!<br>다들 너무 쉽게 망가져서<br>재미없었어!"""
st_057110_0410#0,"""그래서 클라리사에게<br>망가지지 않는 장난감을 데려와 달라고<br>부탁했어!"""
st_057110_0420#0,"""그게 바로 너희야.<br>……그러니까 실컷 놀자!"""
st_057110_0430#0,"""놀 상대는 여기 있어!<br>나와 또 다른 나, 둘을 상대로!<br>놀고 또 놀면서 즐기자!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
