st_057060_0010#0,"""……인간이 아닌 건가?"""
st_057060_0020#0,"""그 모습은……베른 황제의 동생<br>에르밀이 아닙니까!?<br>게다가 분명 죽었을 텐데!"""
st_057060_0030#0,"""……호오, 많이 알고 있네.<br>과연 정보에 밝은 이스=아르스야.<br>우리 이야기까지 훤히 꿰고 있구나."""
st_057060_0040#0,"""그래도 여기까지 벌어진 일은<br>몰랐겠지?"""
st_057060_0050#0,"""큭!"""
st_057060_0060#0,"""클라리사아!"""
st_057060_0070#0,"""플로!"""
st_057060_0080#0,"""칫, 방해하지 마!"""
st_057060_0090#0,"""이스=아르스의 최고 상징, 이 나라의 중심.<br>플로에게는 나라를 마음대로 할 권리가 있어."""
st_057060_0100#0,"""더 놀고 싶었잖아?<br>하고 싶은 일도 더 있었잖아?<br>그럼 마음 가는 대로 하면 돼."""
st_057060_0110#0,"""그만한 힘이 있어.<br>쓰는 방법도 이미 알고 있을 테고."""
st_057060_0120#0,"""힘……?<br>쓰는, 방법……?"""
st_057060_0130#0,"""그래.<br>플로 안에는<br>그 기억이 남아 있을 거야."""
st_057060_0140#0,"""내가 풀어 줄게."""
st_057060_0150#0,"""플로! 플로오!"""
st_057060_0160#0,"""그 뒤 플로는 점토로 장난감을<br>늘려 가듯 마신성과 마물을<br>만들어 냈고, 지금에 이르렀습니다."""
st_057060_0170#0,"""……저는 도망칠 수밖에 없었습니다.<br>저를 바라보던 플로의 표정을 보고도<br>도망치는 것밖에는……"""
st_057060_0180#0,"""클라리사 씨……"""
st_057060_0190#0,"""플로를 이상하게 만든 건<br>베른 황제의 동생 에르밀……"""
st_057060_0200#0,"""에르밀은 에픽에서<br>마르 씨에게 당했을 텐데……"""
st_057060_0210#0,"""살아남았나?"""
st_057060_0220#0,"""가짜인가?"""
st_057060_0230#0,"""……모르겠습니다.<br>살아남은 건지, 이름을 사칭한 건지<br>정보가 너무 적어서 판단하기 어렵습니다."""
st_057060_0240#0,"""클라리사 씨, 이스=아르스의<br>국내 상황은 어떤가요?"""
st_057060_0250#0,"""……저도 모릅니다.<br>숨은 통로로 도망치기에도 벅찼습니다."""
st_057060_0260#0,"""……다만, 마물들에게 휩쓸린<br>이스=아르스 수도는 전멸했거나<br>그에 가까운 상태일 겁니다."""
st_057060_0270#0,"""이스=아르스의 마신성과 마물은<br>모두 플로에게서 생겨나<br>지금도 계속 늘어나고 있습니다."""
st_057060_0280#0,"""그대로 내버려 두면<br>나라 전체가 가득 메워질 겁니다.<br>함께 놀 상대를 찾는 마물 떼로요."""
st_057060_0290#0,"""막으려면……<br>근원인 플로를 멈추는 수밖에 없습니다."""
st_057060_0300#0,"""쿠엔트의 수호휘사님.<br>……부디 그 힘을<br>빌려주시겠습니까."""
st_057060_0310#0,"""베른과 에픽까지 구한 힘을<br>다시 한번만……<br>부디, 부디……"""
st_057060_0320#0,"""……플로를 구하기 위해서입니다."""
st_057060_0330#0,"""물론이야"""
st_057060_0340#0,"""……구할 수 있을까"""
st_057060_0350#0,"""……저 상황을 어떻게든 해야 한다는 건<br>분명합니다.<br>저도 돕는 데 반대하지 않아요."""
st_057060_0360#0,"""하지만……"""
st_057060_0370#0,"""……모르겠습니다.<br>그게 가능한 일인지조차."""
st_057060_0380#0,"""……구한다는 건<br>목숨을 뜻하는 게 아닙니다.<br>플로의 영혼을 말하는 겁니다."""
st_057060_0390#0,"""나라를 위해 몸을 바친 플로를<br>……나라를 멸망시킬 마물로 둘 수는 없습니다."""
st_057060_0400#0,"""……어떻게 멈추면 되나요."""
st_057060_0410#0,"""직접 싸워 봐서 아시겠지만<br>쓰러뜨려도 쓰러뜨리는 속도보다 빠르게<br>늘어나 다시 나타납니다."""
st_057060_0420#0,"""증식의 중심을 단번에 치지 않으면<br>이 재앙은 멈추지 않습니다."""
st_057060_0430#0,"""즉, 중심부를 기습하자는 건가요."""
st_057060_0440#0,"""네.<br>그리고 이곳에는 그 중심부로<br>이어지는 숨은 통로가 있습니다."""
st_057060_0450#0,"""정면으로 맞붙는 것보다는<br>훨씬 승산이 있을 겁니다."""
st_057060_0460#0,"""그래도 어마어마한 수가<br>기다리고 있을 겁니다……"""
st_057060_0470#0,"""……플로가 함께 놀 상대를 찾는 마음이<br>그대로 행동의 원인이 된 거라면<br>방법이 있습니다."""
st_057060_0480#0,"""쿠엔트군을 이스=아르스로 진군시켜<br>국경에 전선을 넓히고 적을 끌어냅니다.<br>밀고 당기며 오래 버티는 싸움을 벌이는 겁니다."""
st_057060_0490#0,"""그사이 수호휘사가 기습해<br>중심부를 치고 증식을 멈춥니다.<br>……어떻습니까."""
st_057060_0500#0,"""알겠어"""
st_057060_0510#0,"""……위험해"""
st_057060_0520#0,"""……그럼 이번에는 따로 움직이겠네요.<br>무사하시기를 빌면서<br>저는 제 책임을 다하겠습니다."""
st_057060_0530#0,"""서로 마찬가지입니다.<br>같이 가겠다고 고집하지 않는 것만으로도<br>제가 성장했다고 생각해 주세요."""
st_057060_0540#0,"""쿠엔트 국왕 하리엣……<br>수호휘사……진심으로 감사드립니다."""
name01#0,"""？？？"""
name02#0,"""？？？"""
