Title#0,"""Carrera contra Phantom Mother"""
Explanation#0,"""Fuertes señales de Ether emanan del<br>satelite lunar.<br>creemos que se debe a la presencia de un<br>Phantom de tamaño colosal.<br>Este ser iluminado está generando columas<br>y tratando de conectarlas con la Tierra<br>Todos lo ARKS rastreen al objetivo.<br>――――――――――――――――――――<br>Limites de veces para completar / 1 vez<br>Fallas: cuando se acába el tiempo."""
SimpleExplanation#0,"""Derrota a ESC-A Falz Mother!"""
a1#0,"""Completa cierta orden de un cliente."""
a2#0,"""Completa cierta orden de un cliente."""
a3#0,"""Poseer la licencia para Super Difícil."""
a4#0,"""Poseer la licencia para Super Difícil."""
NpcComMsg1#0,"""¡Hemos detectado un gran phantom<br>en la superficie lunar que se aproxima!<br>Empezaremos la transferencia inmediatamente."""
NpcComMsg2#0,"""Debido a que el objetivo se está moviendo muy rápido, vamos a necesitar los Rideroid para rastrear el objetivo y tratar de derrotarlo!"""
Area0S#0,"""Superficie Lunar"""
Area0L#0,"""Satelite: Luna - Superficie Lunar"""
Area1S#0,"""幻創の柱"""
Area1L#0,"""Satelite: Luna - Phantom Pillar"""
Area1S#1,"""Superficie Lunar"""
Area1L#1,"""Satelite: Luna - Superficie Lunar"""
QuestInfoPlanetName#0,"""Satelite: Luna"""
