IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""¡Derrotar a $(0)!"""
TrialAbstract#0,"""$(0) Supresión"""
NpcComOnBegin#0,"""¡Sera transferido cerca del objetivo!<br>¡No te alejes demasiado de él!<br>Tenga cuidado con los obstáculos."""
NpcComOnHpDecreased0#0,"""¡Ah, el ataque funciona!"""
NpcComOnHpDecreased1#0,"""¡Su fuerza está disminuyendo,<br>por favor continúe atacando!"""
NpcComOnHpDecreasedLast#0,"""Su fuerza ha disminudo!<br>¡Solo un poco más!"""
NpcComOnTimeCourse#0,"""Ya confirmamos el área al que se está dirigiendo.<br>Se está moviendo a un Photom Pillar!"""
NpcComOnTimeSecond#0,"""¡Ya casi estámos llegando!<br>No lo pierdas de vista!"""
NpcComOnBegin#1,"""¡Sera transferido cerca del objetivo!<br>¡No te alejes demasiado de él!<br>Tenga cuidado con los obstáculos."""
NpcComOnHpDecreased0#1,"""¡Ah, el ataque funciona!"""
NpcComOnHpDecreased1#1,"""¡Su fuerza está disminuyendo,<br>por favor continúe atacando!"""
NpcComOnHpDecreasedLast#1,"""Su fuerza ha disminudo!<br>¡Solo un poco más!"""
NpcComOnTimeCourse#1,"""Ya confirmamos el área al que se está dirigiendo.<br>Se está moviendo a un Photom Pillar!"""
NpcComOnTimeSecond#1,"""¡Ya casi estámos llegando!<br>No lo pierdas de vista!"""
NpcComOnBegin#2,"""¡Sera transferido cerca del objetivo!<br>¡No te alejes demasiado de él!<br>Tenga cuidado con los obstáculos."""
NpcComOnHpDecreased0#2,"""¡Ah, el ataque funciona!"""
NpcComOnHpDecreased1#2,"""¡Su fuerza está disminuyendo,<br>por favor continúe atacando!"""
NpcComOnHpDecreasedLast#2,"""Su fuerza ha disminudo!<br>¡Solo un poco más!"""
NpcComOnTimeCourse#2,"""Ya confirmamos el área al que se está dirigiendo.<br>Se está moviendo a un Photom Pillar!"""
NpcComOnTimeSecond#2,"""¡Ya casi estámos llegando!<br>No lo pierdas de vista!"""
NpcComOnBegin#3,"""¡Sera transferido cerca del objetivo!<br>¡No te alejes demasiado de él!<br>Tenga cuidado con los obstáculos."""
NpcComOnHpDecreased0#3,"""¡Ah, el ataque funciona!"""
NpcComOnHpDecreased1#3,"""¡Su fuerza está disminuyendo,<br>por favor continúe atacando!"""
NpcComOnHpDecreasedLast#3,"""Su fuerza ha disminudo!<br>¡Solo un poco más!"""
NpcComOnTimeCourse#3,"""Ya confirmamos el área al que se está dirigiendo.<br>Se está moviendo a un Photom Pillar!"""
NpcComOnTimeSecond#3,"""¡Ya casi estámos llegando!<br>No lo pierdas de vista!"""
NpcComOnBegin#4,"""¡Sera transferido cerca del objetivo!<br>¡No te alejes demasiado de él!<br>Tenga cuidado con los obstáculos."""
NpcComOnHpDecreased0#4,"""¡Ah, el ataque funciona!"""
NpcComOnHpDecreased1#4,"""¡Su fuerza está disminuyendo,<br>por favor continúe atacando!"""
NpcComOnHpDecreasedLast#4,"""Su fuerza ha disminudo!<br>¡Solo un poco más!"""
NpcComOnTimeCourse#4,"""Ya confirmamos el área al que se está dirigiendo.<br>Se está moviendo a un Photom Pillar!"""
NpcComOnTimeSecond#4,"""¡Ya casi estámos llegando!<br>No lo pierdas de vista!"""
