text01#0,"""한심하네……"""
text02#0,"""네 마음은 이해해"""
text03#0,"""싸우면서 잊자"""
text04#0,"""글쎄?"""
text05#0,"""바쁘니까 이쯤에서"""
text06#0,"""따라 할 필요 없어"""
text99#0,"""돌아가기"""
text00#0,"""……근데 막상 충격받았다는 걸<br>인정하고 나니 의외로 진정되네.<br>파트너가 말해 줘서 깨달았어."""
11_voice_NPC_5210_105#0,"""그렇다고 받아들이는 것도 좀……<br>역시 난 그 녀석이 어려워.<br>따라 하는 건 무리고……"""
11_voice_NPC_5210_104#0,"""하지만 그 녀석을 본받지 않으면<br>나는 내 약함에서 도망치는 게<br>되는 걸까……?"""
11_voice_NPC_5210_108#0,"""……그야 엄청난 일도<br>전부 아무렇지 않게 해내는 파트너는<br>내 마음을 모르겠지!"""
text01#1,"""파트너에게까지 이런 말을 듣다니……<br>차라리 아크스를 그만두고<br>유크 누나에게 폐를 끼치지 않는 곳으로……"""
11_voice_NPC_5210_105#1,"""……이제 다시 일어설 수 없을 것 같아.<br>내가 뭐가 잘못됐던 걸까……<br>전부인가?"""
text00#1,"""……같은 상황이라면<br>파트너도 충격받을 거라고?<br>자신을 부정당하는 건 괴롭다, 인가."""
11_voice_NPC_5210_100#0,"""파트너가 그렇게 말해 주니<br>조금 마음이 편해졌어……<br>아까는 흥분해서 미안해."""
text01#2,"""그렇지!<br>어설트 라이플은 배신하지 않으니까!<br>아니, 지금 그럴 기분이 아니라니까!"""
11_voice_NPC_5210_103#0,"""파트너에게까지 이런 말을 듣다니……<br>차라리 아크스를 그만두고<br>유크 누나에게 폐를 끼치지 않는 곳으로……"""
11_voice_NPC_5210_105#2,"""……이제 다시 일어설 수 없을 것 같아.<br>내가 뭐가 잘못됐던 걸까……<br>전부인가?"""
11_voice_NPC_5210_103#1,"""어이, 부탁이야, 파트너!<br>지금은 내 고민을 들어 주는 흐름이잖아?<br>갑자기 내치지는 말아 줘!"""
text02#1,"""뭐, 유크 누나를 실망시키고 싶지 않고<br>순순히 따라 하는 게 나을지도 모르지만<br>그게 진짜 나인가 싶어서……"""
11_voice_NPC_5210_105#3,"""하지만 그 녀석을 본받지 않으면<br>나는 내 약함에서 도망치는 게<br>되는 걸까……?"""
11_voice_NPC_5210_106#0,"""뭐, 그럴 수가!<br>귀찮은 사람에게 말 걸어 버렸네<br>같은 반응은 하지 말아 줘!"""
text01#3,"""뭐, 유크 누나를 실망시키고 싶지 않고<br>순순히 따라 하는 게 나을지도 모르지만<br>그게 진짜 나인가 싶어서……"""
11_voice_NPC_5210_105#4,"""하지만 그 녀석을 본받지 않으면<br>나는 내 약함에서 도망치는 게<br>되는 걸까……?"""
text00#2,"""따라 할 필요는 없다……?<br>내가 본받아야 할 존재가<br>눈앞에 실제로 있어도?"""
text01#4,"""……그건 아우로라가 생각하는 이상일 뿐<br>유일한 정답이라고는 할 수 없다…… 인가.<br>확실히 그렇네……"""
11_voice_NPC_5210_100#1,"""내가 유크 누나를 소중히 생각하며<br>노력하고 있다면 그게 정답……?<br>파트너, 너 정말 좋은 말 하네!"""
text03#1,"""고민을 이야기할 수 있어서 다행이야.<br>뭐랄까, 눈이 번쩍 뜨였어!<br>역시 파트너야, 고마워!"""
11_voice_NPC_5210_104#1,"""……파트너.<br>미안하지만 내버려 둬.<br>지금 최악의 기분이야."""
text01#5,"""이제 됐어, 어차피 나 같은 건……<br>너무 형편없어서 유크 누나의 짐이라나!<br>환창체 쪽이 더 인기 있는 모양이고!"""
11_voice_NPC_5210_105#5,"""……이제 다시 일어설 수 없을 것 같아.<br>내가 뭐가 잘못됐던 걸까……<br>전부인가?"""
