text01#0,"""Weapon proficiency takes daily practice.<br>The more training you do, the more you'll improve."""
text02#0,"""You may find it hard and exhausting at first, but<br>the more boot camps you complete, the more<br>you'll start to enjoy the process."""
11_voice_NPC_5057_100#0,"""I've sent out countless students like that. So just put your mind at ease and follow me."""
text100#0,"""Double Sabers"""
text101#0,"""This is an explanation of the double sabers gear system.<br><br>By learning the \""double sabers\"" skill, a gear gauge<br>will be added to the top of the Weapon Palette.<br><br>The gear gauge will charge when<br>landing attacks with double sabers."""
text102#0,"""The gear gauge will charge to a maximum of 3 of the gauge units.<br>Press <%WeaponAction> to consume the gear gauge,<br> creating a tornado around you, and attacking in a circle.<br><br>Since the gear gauge will charge when the tornado hits hostiles,<br>it's possible to continuously attack if the hits land well."""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ダブルセイバーギア』について"""
text101#1,"""ダブルセイバーのギアシステムについて、説明します。<br><br>スキル「ダブルセイバーギア」を習得している場合には、<br>武器パレットの上部にギアゲージが追加されます。<br><br>ダブルセイバーの攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br><%WeaponAction>を押すとギアゲージを消費して<br>周囲に竜巻を発生させ、まわりを攻撃します。<br><br>竜巻が敵にヒットするとギアゲージが蓄積されるため<br>うまくヒットさせれば攻撃し続けることも可能です。"""
