text01#0,"""One of the weapons Hunters are really<br>good with is the partizan."""
text02#0,"""This weapon's known for its awesome<br>reach, long point, and flashy combat style."""
text03#0,"""The best way to learn how to use it is<br>to dive in headfirst. No textbooks required!"""
text04#0,"""It just so happens I have a spare halberd<br>lying around. Take it and go practice a bit."""
text05#0,"""Partizans"""
text06#0,"""Partizans are melee weapons that let you mow down enemies swiftly<br>and with force."""
text07#0,"""Try basic partizan attacks and photon arts for yourself.<br><br>It is perfect for striking the enemy relentlessly, shifting from graceful moves<br>to powerful attacks with finesse."""
text01#1,"""ハンターの得意武装の一つに<br>パルチザンというものがある。"""
text02#1,"""長い穂先を活かしたリーチと<br>華麗な機動が特長の武装だ。"""
text03#1,"""基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>パルチザンが一本余っている。<br>これを使って少し練習してくるといい。"""
text05#1,"""『パルチザン』について"""
text06#1,"""武器「パルチザン」について、説明します。<br><br>パルチザンは、高速かつ豪快に敵を薙ぎ払う打撃武器です。"""
text07#1,"""パルチザン系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>豪快な舞から大技へ繋ぎ、スキのない攻撃を得意とします。"""
