name01#0,"""Zeno"""
name01#1,"""ゼノ"""
11_voice_NPC_5001_100#0,"""Whew. I guess that's about it,<br><%me>. Thanks."""
text02#0,"""When you lose your cool, it can feel good to<br>rush headlong into the fray. But it's better<br>not to do it alone."""
text03#0,"""My mentor always told me that having a<br>cool-headed partner with you helps keep<br>you from getting in too deep."""
text04#0,"""I wonder how many times that advice has<br>saved me..."""
text05#0,"""But there's no point blabbing to you about old<br>stuff. We've achieved our objective,<br>so let's head back."""
11_voice_NPC_5001_100#1,"""ふーっ、ま、こんなもんか。<br><%me><br>そろそろ大丈夫だ、ありがとな。"""
text02#1,"""頭に血が上っているときは<br>遮二無二身体を動かすのが一番。<br>ただし、必ず仲間を連れて行くように。"""
text03#1,"""これ、俺の師匠の教え。<br>冷静な判断が出来る仲間がいれば<br>無理も止めてくれる、とさ。"""
text04#1,"""師匠に教えてもらったことで<br>俺がどれだけ救われたことか……"""
text05#1,"""……っと、師匠語りしても仕方ない。<br>目標達成したんだ、帰ろうぜ。"""
