IncidentName#0,"""Attack the impostor Arks?"""
TrialBeginMsg#0,"""Derrota a todos los enemigos!"""
TrialAbstract#0,"""Derrota a todos los enemigos!"""
NpcComOnBegin#0,"""Sensing very strong enemy response!<br>Esta reaccion es... porfavor<br>derrotalos a todos de alguna manera!"""
NpcComOnSuccess#0,"""I was able to capture the coordinates<br>of everyone involved with the enemy<br>reaction disappearance. Situation<br>clear. Return to mission."""
NpcComOnFailure#0,"""Failure..."""
NpcComOnBegin#1,"""Very powerful enemy reaction!<br>Tsk, troublesome reactions incoming!<br>Eliminate them all!"""
NpcComOnSuccess#1,"""Reaction has disappeared. Your coordinates have been confirmed. Sending transfer coordinates. Return home."""
NpcComOnFailure#1,"""Fallo"""
NpcComOnBegin#2,"""Wow, there's a really strong signal! Wait, these readings, is that!?"""
NpcComOnSuccess#2,"""/face2 Wow, the reading has disappeared. Good work everyone, sending transfer coordinates now!"""
NpcComOnFailure#2,"""Fallo"""
