SelectMenuType_CommunicationMenu1#0,"""ショートカットワード実行"""
SelectMenuType_CommunicationMenu2#0,"""Lobbyaktionen ausführen"""
SelectMenuType_CommunicationMenu3#0,"""キャラクター頭上表示切り替え"""
SelectMenuType_CommunicationMenu4#0,"""Online-Status ändern"""
SelectMenuType_CommunicationMenu5#0,"""ショートログ表示ON/OFF"""
SelectMenuType_CommunicationMenu6#0,"""パーティーメイカー設置/撤去"""
SelectMenuType_CommunicationMenu7#0,"""フレンドメッセージ変更"""
SelectMenuType_CommunicationMenu8#0,"""Charaktere in der Nähe"""
SelectMenuType_CommunicationMenu9#0,"""Freundesliste"""
SelectMenuType_CommunicationMenu10#0,"""Team-Befehle"""
SelectMenuType_CommunicationMenu11#0,"""Post"""
SelectMenuType_CommunicationMenu12#0,"""Kommunikationsverlauf"""
SelectMenuType_CommunicationMenu13#0,"""Symbol Arts"""
VITA_SelectMenuType_ExecuteMenu1#0,"""視点設定変更"""
SelectMenuType_Execute_Camera#0,"""Kamera-Auswahl"""
SelectMenuType_ExecuteMenu1#0,"""Screenshot aufnehmen"""
SelectMenuType_ExecuteMenu2#0,"""Zu My Room gehen"""
SelectMenuType_ExecuteMenu3#0,"""Zum Zimmer deines Teams gehen"""
SelectMenuType_ExecuteMenu4#0,"""Zu deinem Schiff gehen"""
SelectMenuType_ExecuteMenu5#0,"""Zum gemeinsamen Schiff gehen"""
SelectMenuType_ExecuteMenu6#0,"""Zur Brücke gehen"""
SelectMenuType_ExecuteMenu7#0,"""Zum Umgestaltungssalon"""
SelectMenuType_ExecuteMenu8#0,"""Zu Frankas Cafe gehen"""
SelectMenuType_ExecuteMenu9#0,"""UI verstecken"""
SelectMenuType_QuestMenu1#0,"""パートナー作戦指示"""
SelectMenuType_QuestMenu2#0,"""レーダーマップ表示切り替え"""
SelectMenuType_QuestMenu3#0,"""Umgebungskarte anzeigen/verstecken"""
SelectMenuType_QuestMenu4#0,"""パーティーコマンド"""
SelectMenuType_QuestMenu5#0,"""クライアントオーダー"""
SelectMenuType_QuestMenu6#0,"""アークスロード"""
SelectMenuType_QuestMenu7#0,"""Eventinfo"""
SelectMenuType_ItemMenu1#0,"""Waffen"""
SelectMenuType_ItemMenu2#0,"""Rüstungen"""
SelectMenuType_ItemMenu3#0,"""ファッション編集"""
SelectMenuType_ItemMenu4#0,"""サブパレット編集"""
SelectMenuType_ItemMenu5#0,"""Gegenstände"""
SelectMenuType_ItemMenu6#0,"""Benutzerdefiniert"""
SelectMenuType_ItemMenu7#0,"""マグ"""
