Title#0,"""T: Base Defense: Despair"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>強力な多数のダーカー反応を確認した。<br>既に侵食は進み、絶望的な状況下にある。<br>だが、我々は諦めるわけにはいかない。<br>拠点防衛用に新たに開発された<br>A.I.Sを駆使し、ダーカーを迎撃せよ。<br>――――――――――――――――――――<br>全8ウェーブ<br>失敗条件/全拠点の陥落"""
SimpleExplanation#0,"""Defiende la base minera!"""
Wave1_Talk#0,"""Los Darkers han llegado!<br>y estan corrompiendo los Socket de defensas tambien...<br>por favor, trabajen en conjunto para derrotar a!"""
Wave2_Talk#0,"""Torretas Darker confirmadas!<br>Activa tu A.I.S forza al enemigo<br>a retirarse!"""
Wave3_Talk#0,"""There's an unconfirmed reaction in the sky!<br>Something may be coming...<br>Porfavor, ten cuidado!"""
Wave4_Talk#0,"""We have reactions coming from multiple locations! Bevcareful not to get attacked all at once!"""
Wave5_Talk#0,"""New reactions detected!<br>Darker turrets might also appear!<br>Keep an eye out!"""
Wave6_Talk#0,"""Such a huge reaction...<br>hopefully, this is the last of it?<br>Either way, good luck!"""
Wave7_Talk#0,"""W-W-Wha!? What is this?!<br>This is the first time we've seen such a powerful<br>enemy reaction! Porfavor be very careful!"""
Wave8_Talk#0,"""Another powerful enemy has appeared! This is the last wave though, I'm sure of it! Please, do your best!"""
Wave1_Talk_Cool#0,"""It seems a lot of crystals are gathering in the<br>four corners of the area! Use the<br>catapult to recover them easily!"""
Wave2_Talk_Cool#0,"""If left alone, corrupted sockets will generate Darker turrets. Keep an eye out!"""
Wave3_Talk_Cool#0,"""Hay varias funciones que se pueden utilizar para defender <br>las bases! Asegurese de utilizar la recuperacion de la salud y <br> usar las barreras tambien!"""
Wave4_Talk_Cool#0,"""¡Mira! El brillo de los cristales parecen brillar mas!<br>Sigan aumentando los puntos!"""
Wave5_Talk_Cool#0,"""Recuerde que debe purificar las tomas infectadas... De lo contrario, la corrupcion va a crecer. Preparese para el proximo ataque!"""
Wave6_Talk_Cool#0,"""There's a large reaction coming! Is your A.I.S ready?<br>Don't forget about the photon particle cannon!"""
Wave7_Talk_Cool#0,"""Excellent work! I think that was all of... Huh?<br>Wait a moment. There's... some sort of reaction coming..."""
Wave8_Talk_Cool#0,"""Before the next attack comes, collect as many<br>crystals as you can! The reaction is very dangerous this time!"""
NpcComMsg1#0,"""We will begin the operation shortly.<br>It looks like the corruption has already spread, please<br>be very careful!"""
NpcComMsg2#0,"""In dangerous situations, we recommend using your A.I.S to repel the Darkers.<br>Good luck!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la Licencia para Super Dificil."""
a4#0,"""Poseer la Licencia para Super Dificil."""
