Title#0,"""Techer Basico"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：ウォンドのギア訓練<br>課題２：レスタの使用<br>課題３：ザンバースの使用<br>課題４：ゾンディールの使用<br>課題５：実戦訓練"""
SimpleExplanation#0,"""Completar cinco tareas!"""
Training1#0,"""Attack with a tech-explosion"""
Training2#0,"""Restore HP with Resta"""
Training3#0,"""Inflict Extra Damage with Zanverse"""
Training4#0,"""Gather Enemies with Zondeel"""
Training5#0,"""Derrota a Enemies"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
