IncidentName#0,"""Destruye el Fundarge Bits"""
TrialBeginMsg#0,"""Destruye el Fundarge Bits within the time limit."""
TrialAbstract#0,"""Destruye el Fundarge Bits within the time limit."""
NpcComOnPreBegin#0,"""……待ってください。<br>何か様子がおかしいです。"""
NpcComOnBegin#0,"""ファンダージ・ビット出現。<br>急ぎ破壊し、周囲のエネミーへの<br>影響を抑えてください。"""
NpcComOnSuccess#0,"""ファンダージ・ビットの破壊を確認。<br>各員の協力に感謝します。"""
NpcComOnFailure#0,"""ファンダージ・ビットの反応消失。<br>取り逃がしてしまったようです。<br>通常任務に戻ってください。"""
NpcComOnRemainTimeNotice#0,"""制限時間に余裕がありません。<br>急いで破壊してください！"""
NpcComOnLastOne#0,"""ファンダージ・ビットの反応<br>あと１つです！"""
NpcComOnPreBegin#1,"""目標の撃破を確認……<br>……いや、待て。<br>様子がおかしい。"""
NpcComOnBegin#1,"""ファンダージ・ビットが出現した！<br>早急に破壊し、周囲のエネミーへの<br>影響を抑えろ！"""
NpcComOnSuccess#1,"""ファンダージ・ビットの破壊を確認。<br>通常任務に復帰しろ。"""
NpcComOnFailure#1,"""ファンダージ・ビットの反応消失。<br>取り逃がしてしまったようだな。<br>仕方がない、通常任務に戻れ。"""
NpcComOnRemainTimeNotice#1,"""制限時間が残り少ないぞ！<br>早急に破壊しろ！"""
NpcComOnLastOne#1,"""ファンダージ・ビットの反応<br>あと１つだ！"""
NpcComOnPreBegin#2,"""あれれ……？<br>何か様子がおかしいですよ。"""
NpcComOnBegin#2,"""ファンダージ・ビット出現です！<br>他のエネミーが影響を受けちゃいます！<br>至急破壊してくださいー。"""
NpcComOnSuccess#2,"""やったやった、やりました！<br>ファンダージ・ビットの破壊確認！<br>みなさん、お疲れさまでしたっ！"""
NpcComOnFailure#2,"""ファンダージ・ビット、反応なし。<br>どうやら逃げちゃいました。<br>通常任務に戻ってください。"""
NpcComOnRemainTimeNotice#2,"""急いでください！<br>時間が無くなっちゃいます！"""
NpcComOnLastOne#2,"""ファンダージ・ビットの反応は<br>あと１つですよ！<br>頑張ってくださいー！"""
NpcComOnPreBegin#3,"""……異常な反応を計測。<br>警戒を怠らないでください。"""
NpcComOnBegin#3,"""ファンダージ・ビットの出現を確認。<br>周囲のエネミーへ影響あり。<br>早急な対処を求めます。"""
NpcComOnSuccess#3,"""ファンダージ・ビット、破壊確認。<br>突発事象への対応、見事でした。"""
NpcComOnFailure#3,"""ファンダージ・ビット、反応消失。<br>破壊失敗です。<br>通常任務へ戻ってください。"""
NpcComOnRemainTimeNotice#3,"""制限時間、残りわずか。<br>早急に破壊してください。"""
NpcComOnLastOne#3,"""ファンダージ・ビット、残存１。<br>攻撃を継続してください。"""
NpcComOnPreBegin#4,"""新たな適性反応を感知しました！<br>気をつけてください！"""
NpcComOnBegin#4,"""ファンダージ・ビットの出現を確認！<br>周辺のエネミーへ影響が出ます！<br>急いで破壊してください！"""
NpcComOnSuccess#4,"""ファンダージ・ビットの破壊を確認！<br>お疲れさまでした！"""
NpcComOnFailure#4,"""ファンダージ・ビットの反応消失！<br>……逃げてしまったようです。<br>通常任務に戻りましょう。"""
NpcComOnRemainTimeNotice#4,"""時間がありません！<br>急いで破壊してください！"""
NpcComOnLastOne#4,"""ファンダージ・ビットの<br>反応は残り１つです！<br>焦らず対応してください！"""
