name01#0,"""Patty"""
name02#0,"""Tea"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5014_104#0,"""...uh, Patty. Why do you arbitrarily put out these requests?<br>I can do this on my own."""
11_voice_NPC_5013_100#0,"""Ah, don't hold back so much!<br>Look, this person said they're going<br>to join us!"""
text03#0,"""I've got my own business to attend to...<br>But you're worried, Tea...that's why!<br>This time you should go with Tea!"""
text04#0,"""I wonder if you'd stay with me..."""
text05#0,"""You can't go together with anyone else.<br>You've got to go along with Tea!<br>Alright, then I'm counting on you!"""
text06#0,"""...it's annoying going along with Patty's influence, but since you're here, I'm looking forward to working with you."""
11_voice_NPC_5014_104#1,"""……いや、パティちゃん。<br>何勝手にこんな依頼出してるの？<br>別に私、一人で大丈夫なんだけど。"""
11_voice_NPC_5013_100#1,"""まーまーそう遠慮しなさんなって！<br>この人もほら、付いてきてくれると<br>言ってくれてるわけだし！"""
text03#1,"""あたしはあたしで別の用事があって……<br>でもティアは心配なわけで……だから！<br>今回は、ティアの隣をアナタに譲る！"""
text04#1,"""譲りっぱなしにしてくれないかな……"""
text05#1,"""他の誰とも一緒に行っちゃダメだよ。<br>ティアと二人きりじゃないとダメだよ！<br>それじゃ、よろしくー！"""
text06#1,"""……パティちゃんの勢いに流されるのは<br>なんだかしゃくだけど<br>せっかくだし、よろしくお願いします。"""
