linewindow#0,"""Strafe"""
text00#0,"""Strafe"""
text01#0,"""Strafe enables you to make ranged attacks<br>while on the move."""
text02#0,"""Use the following controls to move:<br>Forward: <%MoveForward>   Back: <%MoveBack><br>Left: <%MoveLeft>   Right: <%MoveRight><br><br>While moving, execute one of the following:<br>Standard attack: <%NormalAttack>   photon art: <%PhotonArts>"""
text03#0,"""While using the left stick to move, execute one of the following:<br>Standard attack: <%NormalAttack>  photon art: <%PhotonArts>"""
text04#0,"""While Strafe lets you maneuver safely, it also causes your shots to go astray more often.<br><br>Fire while standing in place when you want to shoot more accurately.<br>Use Strafe to stay mobile while taking out enemies."""
text101#0,"""Well done out there.<br>You've pretty much covered all the basics of<br>handling guns."""
text102#0,"""But that's where a lot of soldiers get cocky.<br>I want you to learn proper combat skills,<br>instead of going off and doing your own thing."""
text103#0,"""It might seem like more work than need be,<br>but trust me, you'll be grateful for it later.<br>See you at our next training session."""
linewindow#1,"""<br>『ムービングショット』について<br>"""
text00#1,"""『ムービングショット』について"""
text01#1,"""『ムービングショット』について説明します。<br><br>ムービングショットとは、<br>移動しながら射撃攻撃を行うことです。"""
text02#1,"""以下の操作で移動しながら、<br>前：<%MoveForward>　後：<%MoveBack><br>左：<%MoveLeft>　右：<%MoveRight><br><br>通常攻撃：<%NormalAttack>　又はフォトンアーツ：<%PhotonArts>　を入力します。"""
text03#1,"""左スティックで移動しながら、<br>通常攻撃：<%NormalAttack>　又はフォトンアーツ：<%PhotonArts>を入力します。"""
text04#1,"""ムービングショットは、安全に立ち回れる代わりに<br>発射する弾丸がバラけやすくなります。<br><br>正確な射撃を行いたい場合は、立ち止まって攻撃し<br>安全に戦う場合は、ムービングショットを選択すると<br>よいでしょう。"""
text101#1,"""ご苦労だった。<br>銃器の扱いの基礎は<br>充分に出来ていると言えるだろう。"""
text102#1,"""ただしそこが落とし穴でもある。<br>我流に走らず、正当流を身につけて<br>腕を上げていってほしい。"""
text103#1,"""君ならおいおい理解できるはずだ。<br>次の特訓でまた会おう。"""
