Ship01#0,"""Nave 01:Feoh"""
Ship02#0,"""Nave 02:Ur"""
Ship03#0,"""Nave 03:Thorn"""
Ship04#0,"""Nave 04:Ansur"""
Ship05#0,"""Nave 05:Laguz"""
Ship06#0,"""Nave 06:Ken"""
Ship07#0,"""Nave 07:Geofu"""
Ship08#0,"""Nave 08:Wynn"""
Ship09#0,"""Nave 09:Hagall"""
Ship10#0,"""Nave 10:Nauthiz"""
Self01_01#0,"""Self01_01"""
Self01_02#0,"""Self01_02"""
Self02_01#0,"""Self02_01"""
Self02_02#0,"""Self02_02"""
Ship01#1,"""Nave01"""
Ship02#1,"""Nave02"""
YesText#0,"""Si"""
NoText#0,"""No"""
CloseText#0,"""Cerrar"""
OpenText#0,"""Abrir"""
MaxText#0,"""Max"""
MinText#0,"""Min"""
Sort#0,"""Ordenar"""
