un_046020_0010#0,"""あ、<%me>！<br>やっと……ちゃんと、会えたね！"""
un_046020_0020#0,"""わたしはあなたより早く起きちゃってたし<br>起きてからもずっと、あちこち出回ってたから……<br>なんだかほんと、久しぶり……！"""
un_046020_0030#0,"""あはは……本当に久しぶりすぎて<br>……えっと、困ったな。<br>何から話をすればいいんだろう。"""
un_046020_0040#0,"""あ、そうだ、この前のことから！"""
un_046020_0050#0,"""助けに来てくれて、ありがとう。<br>あの時、戦えるのわたし一人だけだったから……<br>本当のことを言うと、ちょっと怖かったんだ。"""
un_046020_0060#0,"""１．ヒツギのおかげだ"""
un_046020_0070#0,"""２．よく頑張ったね"""
un_046020_0080#0,"""うん、ヒツギちゃんが道を切り開いて<br>くれたから、<%me>も<br>来ることが出来たんだよね。"""
un_046020_0090#0,"""……ふふっ、えへへ。<br>頑張ったかい、あったなあ……なんてね。"""
un_046020_0100#0,"""みんなの協力があったから、だよね。<br><%me>もそうだし<br>ヒツギちゃんも……戻ってきてくれてさ。"""
un_046020_0110#0,"""わたし、ヒツギちゃんを励ましたつもりが<br>逆効果だったみたいで……<br>すごく心配してたんだ。"""
un_046020_0120#0,"""でも、ああやって戻ってきてくれて……<br>すごく、しっかりした目をするようになってた。"""
un_046020_0130#0,"""……だから、これからは<br>あの子が一人で抱え込まないように<br>しっかり支えてあげないと、だね。"""
un_046020_0140#0,"""……あ、今こっち見たでしょ？<br>昔のわたしのこと考えたでしょ？"""
un_046020_0150#0,"""大丈夫、わたしはもう間違えないよ。<br>何かあったら、すぐに<br><%me>を頼るから。"""
un_046020_0160#0,"""わたしはもう、ひとりじゃない。<br>……それは絶対に忘れないから、大丈夫。"""
linewindow001#0,"""マトイ(EP4)をパートナーとして呼べるようになりました。"""
