linewindow#0,"""Incapacitation"""
text00#0,"""Incapacitation"""
text01#0,"""When your character's HP (health) falls to 0,<br>you are incapacitated and can no longer act."""
text02#0,"""When incapacitated, you can select a method of resuming play<br>from the menu displayed, or wait for an ally to help you,<br>except in some situations.<br><br>You can also chat while incapacitated, allowing you to communicate<br>with other party members."""
text03#0,"""Surviving party members can revive incapacitated characters<br>using revival items such as a revival kit.<br><br>You can also revive yourself if you have a half revival kit."""
text04#0,"""When a partner character is incapacitated, they are automatically<br>revived after a set amount of time.<br>You don't necessarily need to use revival items on them."""
linewindow#1,"""<br>『戦闘不能』について<br>"""
text00#1,"""『戦闘不能』について"""
text01#1,"""戦闘不能について説明します。<br><br>キャラクターのＨＰ（体力）が０になると、<br>戦闘不能となり、行動ができなくなってしまいます。"""
text02#1,"""戦闘不能になった場合は、<br>表示されているメニューから再開方法を選択したり、<br>特別な場合を除き、仲間の助けを待つことができます。<br><br>また、この状態でもチャットをすることは出来ますので、<br>パーティーメンバーと相談することも可能です。"""
text03#1,"""生存しているパーティーメンバーが<br>ムーンアトマイザーといった復活アイテムなどを使用することで<br>戦闘不能となったキャラクターを復活させられます。<br><br>またはスケープドールやハーフドールを<br>所持していれば、その場で復活することができます。"""
text04#1,"""パートナーキャラクターについては、戦闘不能となっても<br>一定時間経過後に自動で復活するため<br>復活アイテムなどを使用する必要は必ずしもありません。"""
