st_044040_0001#0,"""A.P.241/4/10/12:00"""
st_044040_0010#0,"""ふんだ、ふーんだ、兄さんのバカバカバーカ！<br>何よ何よ何よ、あたしの気も知らないで！"""
st_044040_0020#0,"""……わかってるわよ、言われなくてもわかってる。<br>どうしたいのか迷ってる、なんて<br>自分が一番わかってるっての……！"""
st_044040_0030#0,"""あーもー！\u3000頭冷やせば冷やすほど<br>腹が立ってきた！\u3000やっぱり兄さんのバーカ！"""
st_044040_0040#0,"""目的がなくて何が悪いってのよ！<br>そんなの動きながら見つけるもんでしょ！<br>……ほら、アルも言ってやりなさい！"""
st_044040_0050#0,"""え、え？\u3000何を言えばいいの？"""
st_044040_0060#0,"""何でもいいから！"""
st_044040_0070#0,"""……も、もっと大きくなりたーい！"""
st_044040_0080#0,"""それただの願望じゃない！"""
st_044040_0090#0,"""ふふっ。"""
st_044040_0100#0,"""あっ、ごめんなさい。<br>騒がしかった……よね？"""
st_044040_0110#0,"""ううん、気にしないで。<br>わたしも、知り合いのフォトンを辿ってたら<br>たまたま、ここに来ちゃっただけだから。"""
st_044040_0120#0,"""そしたら、面白いことを叫んでる人がいたから<br>目が離せなくなっちゃって……<br>こっちこそ、ごめんね。続けていいよ。"""
st_044040_0130#0,"""いや別に叫びたかったわけじゃなくて……<br>ううん、叫びたくはあるけど、そうじゃなくて……"""
st_044040_0140#0,"""……ねえ、貴方もアークスだよね。"""
st_044040_0150#0,"""うん。<br>わたし、マトイって言うの。<br>あんまり見ない顔だけど、あなたたちは？"""
st_044040_0160#0,"""あたしはヒツギ、こっちはアルで……<br>ちょっとワケありで、ここに来てるの。<br>よろしくね、マトイさん。"""
st_044040_0170#0,"""ふふ、呼び捨てでいいよ、ヒツギちゃん。"""
st_044040_0180#0,"""それで、ヒツギちゃん、大丈夫？<br>何か悩みごとがある感じがしたよ。"""
st_044040_0190#0,"""あ、いや、ちょっと……"""
st_044040_0200#0,"""さっき叫んでたのだって、いろいろと<br>我慢できなかったからなんでしょ？<br>わたしでも、話し相手ぐらいにはなれるよ。"""
st_044040_0210#0,"""……どうして、そこまで？"""
st_044040_0220#0,"""わたしも溜め込んじゃうひとだから<br>よく怒られるんだ。<br>だからなんとなく、気持ちがわかるの。"""
st_044040_0225#0,"""……なんでだろう。<br>初めて会ったはずなのに、なんでも<br>話せそうな……気がする。"""
st_044040_0230#0,"""……じゃあ、さ、マトイ。<br>ちょっと聞きたいことがあるんだけど、いい？"""
st_044040_0240#0,"""うん、何でも聞いて。<br>わたし、話すの好きだからさ。"""
st_044040_0250#0,"""貴方は、どうして戦ってるの？<br>貴方が戦う目的って、何？"""
st_044040_0260#0,"""戦う目的、かあ。<br>どうして、そんなことを？"""
st_044040_0270#0,"""お前には戦う目的がない、って断言されて……<br>腹が立ったんだけど、改めて自分の戦う目的を<br>考えると、何も思いつかなくて……"""
st_044040_0280#0,"""……やっぱり、おかしいよね。"""
st_044040_0290#0,"""あ、ごめんなさい。そういう意味じゃないの。<br>なんだか昔のわたしを見てるみたいで、懐かしくて。"""
st_044040_0300#0,"""昔の……？"""
st_044040_0310#0,"""わたしもね、戦う目的を見失ったとき、あったよ。<br>指示を受けて動いて、指示通りにやって……<br>ずーっと、目的なんかないまま動いてた。"""
st_044040_0320#0,"""……あたしも、そう。<br>マザーの言うことに従ってるときは楽だった。"""
st_044040_0330#0,"""でもそれって<br>自分で何も考えてないのと同じなのよね。<br>……だから、兄さんの言うことも、わかる。"""
st_044040_0340#0,"""何のためにこの力を使うのか……"""
st_044040_0350#0,"""……重要なのは、自分が何をしたいのか、だよ。<br>その答えが「誰かを守りたい」なら<br>それはれっきとした、ヒツギちゃんの意志だと思う。"""
st_044040_0360#0,"""自分が、何をしたいのか……<br>ううう……それがハッキリとわかれば<br>苦労しないのに……"""
st_044040_0370#0,"""だったらさ、まずは目の前のことを<br>一つ一つやっていったらいいんじゃないかな？<br>自分のやりたいことを、やっていくの。"""
st_044040_0380#0,"""自分のやりたいこと……"""
st_044040_0390#0,"""そう、他の人に決めてもらうんじゃなくて<br>自分で「それをやる」って決めること。<br>それが第一歩だよ、きっと。"""
st_044040_0400#0,"""……なんか、すこしわかった気がする。"""
st_044040_0410#0,"""そうよヒツギ、何を迷ってるのよ。<br>誰になんと言われようと、あたしは知りたいの。"""
st_044040_0420#0,"""マザーのやろうとしてることとか<br>どうしてアルが狙われているのか、とか<br>知って、知って……そして、決める！"""
st_044040_0430#0,"""ありがと、マトイ！<br>おかげで、道が見えた気がする！"""
st_044040_0440#0,"""アル、あんたはシエラのところで待ってて！<br>あたしはちょっと、行ってくるから！"""
st_044040_0450#0,"""ふふっ、元気な子だね。"""
st_044040_0460#0,"""アルくん、だっけ？\u3000それじゃわたしと一緒に<br>シエラちゃんのところに行こうか。<br>ちょうどわたしも呼ばれてたはずだから。"""
st_044040_0470#0,"""……お姉ちゃん、ぼくたち<br>前にどこかで会ったことある？"""
st_044040_0480#0,"""ううん、初めてだと思うよ。<br>でも……何でだろうね、わたしもなんだか<br>とっても懐かしい感じがするんだ。"""
