name01#0,"""Lisa"""
name01#1,"""リサ"""
11_voice_NPC_5026_101#0,"""Nice, I was completely absorbed in that.<br>I even thought a little that it'd be<br>nice to be shot at, if by you."""
text02#0,"""Of course, if it was serious, I'd be in trouble. I like to shoot, but I don't really like to be shot."""
text03#0,"""Besides, fighting someone like you<br>would be fun, but also a waste.<br>And I won't do it since it'd be a waste."""
text04#0,"""So, let's stay good friends forever.<br>We'll shoot, shoot, shoot, and<br>kill, kill, kill hostiles together!"""
text05#0,"""If we keep doing that as long<br>as we can, will we see peace someday?<br>Well, not that I care."""
11_voice_NPC_5026_101#1,"""いいですねえ、思わずうっとりです。<br>あなたになら撃たれてもいいって<br>ちょっと思っちゃいましたねえ。"""
text02#1,"""もちろん本気でされても困りますよお？<br>リサは撃つのは好きでも、撃たれるのは<br>あまり好きではありませんからねえ。"""
text03#1,"""それに、あなたのようなひとと戦うのは<br>楽しいでしょうけど、もったいない。<br>もったいないからやりませんよお。"""
text04#1,"""だから、ずうっと仲良くしましょうね。<br>一緒に敵さんを撃って撃って撃って<br>殺して殺して殺すんですよお。"""
text05#1,"""それをずっと続けていけば<br>いずれ平和というのにもなるんじゃない<br>ですかあ？　ま、関係ないですけどお。"""
