linewindow#0,"""ARKS Ship Facilities"""
text00#0,"""ARKS Ship Facilities"""
text01#0,"""This is the Campship of the ARKS ship.<br><br>Here you can do things like sign up for quests at a quest counter,<br>or boost your character's abilities at Medical Bay."""
text02#0,"""To accept a quest, talk to the character standing at the quest counter,<br>and select the quest you want to take on.<br><br>There are two quest counters, but there is no difference between them."""
text03#0,"""You can also use a teleporter to visit the shop area.<br><br>In the shop area, you can purchase weapons and armor units, or change your<br>character's appearance at the salon.<br><br>It's also the perfect place to hang out with other players. Have a look around!"""
linewindow101#0,"""Linking with \""Phantasy Star Online 2 es\"""""
text100#0,"""Linking with \""Phantasy Star Online 2 es\"""""
text101#0,"""Any characters used to play both \""Phantasy Star Online 2\"" and <br>\""Phantasy Star Online 2 es\"" (hereafter \""PSO2 es\"") will be have the following <br>elements interlinked. <br><yellow> ・A portion of the XP gained from \""PSO2 es\"". <br>・Shared Meseta Pool. <br>・Shared portion of the inventory. <br>・Weapons/Units/Costumes/Parts/etc. <br>・Shared Development Status of Mags.<c><br><br>For more details, please check out the \""PSO2es\"" Online Manual.<br>Click on the following URL and a new browser will be opened.<br><&URL pso2es_players_linkage>"""
linewindow#1,"""<br>『アークスシップの施設』について<br>"""
text00#1,"""『アークスシップの施設』について"""
text01#1,"""アークスシップの施設について説明します。<br><br>ここはアークスシップのゲートエリアです。<br><br>クエストカウンターでクエストを受注したり<br>メディカルセンターでキャラクターの能力を向上させたり<br>することができます。"""
text02#1,"""クエストを受注する場合は<br>クエストカウンターに立つキャラクターに話しかけ<br>受注したいクエストを選択してください。<br><br>クエストカウンターは２か所ありますが、<br>どちらも違いはありません。"""
text03#1,"""テレポーターを使うとショップエリアへ行くことができます。<br><br>ショップエリアでは、武器やユニットを購入したり<br>エステでキャラクターの外見を変えたりすることができます。<br><br>また、他のプレイヤーとくつろいだりする憩いの場です。<br>いろいろ散策してみましょう。"""
linewindow101#1,"""<br>『ファンタシースターオンライン2 es』との連動について<br>"""
text100#1,"""『ファンタシースターオンライン2 es』との連動について"""
text101#1,"""『ファンタシースターオンライン2』と<br>『ファンタシースターオンライン2 es』 (以下『PSO2es』)<br>の間で連動したキャラクターは以下の要素を連動します。<br><br>　<yellow>・『PSO2es』で入手した経験値の一部を加算<br>　・所持メセタの共有<br>　・アイテムパックの共有<br>　　・武器/ユニット/コスチューム/パーツ　など<br>　・マグ育成状況の共有<c><br><br>詳しくは『PSO2es』のオンラインマニュアルをご確認ください。<br>以下のURLをクリック（決定）すると、<br>ブラウザーで開きます。<br><&URL pso2es_players_linkage>"""
