IncidentName#0,"""Clases con Nyau!"""
TrialBeginMsg#0,"""Derrotar a Nyau!"""
TrialAbstract#0,"""Derrota a $(0)"""
NpcComOnBegin#0,"""Hemos confirmado la aparicion de Nyau.<br>Parece que esta dando problemas<br>Por favor, tome las acciones adecuadas。"""
NpcComOnSuccess#0,"""Parece que  Nyau se retira<br>buen trabajo."""
NpcComOnBegin_Other#0,"""Hemos confirmado la aparicion de Nyau.<br>Parece que esta dando problemas<br>Por favor, tome las acciones adecuadas。"""
NpcComOnSuccess_Other#0,"""Parece que  Nyau se retira<br>buen trabajo."""
NpcComOnBegin_Darker#0,"""Hemos confirmado la aparicion de Nyau.<br>Parece que esta dando problemas<br>Por favor, tome las acciones adecuadas。"""
NpcComOnSuccess_Darker#0,"""Parece que  Nyau se retira<br>buen trabajo."""
NpcComOnBegin#1,"""Oh, dame un respiro ... Mira lo que trajo el gato. Esto debe ser una verdadera plaga obstinada. Pueden ustedes tratar con el? Y mostrar lo fuerte que eres."""
NpcComOnSuccess#1,"""Parece que se fue con el rabo entre las piernas. Finalmente este cabeza dura entendio que este no es el lugar para jugar... Bueno, bueno. Buen trabajo."""
NpcComOnBegin_Other#1,"""Oh, dame un respiro ... Mira lo que trajo el gato. Esto debe ser una verdadera plaga obstinada. Pueden ustedes tratar con el? Y mostrar lo fuerte que eres."""
NpcComOnSuccess_Other#1,"""Parece que se fue con el rabo entre las piernas. Finalmente este cabeza dura entendio que este no es el lugar para jugar... Bueno, bueno. Buen trabajo."""
NpcComOnBegin_Darker#1,"""Oh, dame un respiro ... Mira lo que trajo el gato. Esto debe ser una verdadera plaga obstinada. Pueden ustedes tratar con el? Y mostrar lo fuerte que eres."""
NpcComOnSuccess_Darker#1,"""Parece que se fue con el rabo entre las piernas. Finalmente este cabeza dura entendio que este no es el lugar para jugar... Bueno, bueno. Buen trabajo."""
NpcComOnBegin#2,"""わわっ、ニャウが出てきましたよ！<br>とにかく勝負好きの子ですから<br>ささっと相手してあげてください！"""
NpcComOnSuccess#2,"""ニャウ、撤退しましたー。<br>でも、負けず嫌いな子ですから<br>今後も時々現れると思いますよー。"""
NpcComOnBegin_Other#2,"""わわっ、ニャウが出てきましたよ！<br>とにかく勝負好きの子ですから<br>ささっと相手してあげてください！"""
NpcComOnSuccess_Other#2,"""ニャウ、撤退しましたー。<br>でも、負けず嫌いな子ですから<br>今後も時々現れると思いますよー。"""
NpcComOnBegin_Darker#2,"""わわっ、ニャウが出てきましたよ！<br>とにかく勝負好きの子ですから<br>ささっと相手してあげてください！"""
NpcComOnSuccess_Darker#2,"""ニャウ、撤退しましたー。<br>でも、負けず嫌いな子ですから<br>今後も時々現れると思いますよー。"""
NpcComOnBegin#3,"""ニャウ、という生命体の出現を確認。<br>勝負にこだわる特性を持つとのこと。<br>適切に対応してください。"""
NpcComOnSuccess#3,"""ニャウ、撤退しました。<br>今後もたびたび現れるでしょうが<br>同様の対応で問題ありません。"""
NpcComOnBegin_Other#3,"""ニャウ、という生命体の出現を確認。<br>勝負にこだわる特性を持つとのこと。<br>適切に対応してください。"""
NpcComOnSuccess_Other#3,"""ニャウ、撤退しました。<br>今後もたびたび現れるでしょうが<br>同様の対応で問題ありません。"""
NpcComOnBegin_Darker#3,"""ニャウ、という生命体の出現を確認。<br>勝負にこだわる特性を持つとのこと。<br>適切に対応してください。"""
NpcComOnSuccess_Darker#3,"""ニャウ、撤退しました。<br>今後もたびたび現れるでしょうが<br>同様の対応で問題ありません。"""
NpcComOnBegin#4,"""ニャウの出現を確認！<br>皆さんと勝負したいようなので<br>軽くあしらってあげてください！"""
NpcComOnSuccess#4,"""ニャウは逃げたようです。<br>今後も現れると思いますが<br>その時もあしらってあげましょうね。"""
NpcComOnBegin_Other#4,"""ニャウの出現を確認！<br>皆さんと勝負したいようなので<br>軽くあしらってあげてください！"""
NpcComOnSuccess_Other#4,"""ニャウは逃げたようです。<br>今後も現れると思いますが<br>その時もあしらってあげましょうね。"""
NpcComOnBegin_Darker#4,"""ニャウの出現を確認！<br>皆さんと勝負したいようなので<br>軽くあしらってあげてください！"""
NpcComOnSuccess_Darker#4,"""ニャウは逃げたようです。<br>今後も現れると思いますが<br>その時もあしらってあげましょうね。"""
