name01#0,"""Patty """
name02#0,"""Tea"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""Good work!<br>Yeah, that was perfect. You've won<br>my favor, as expected!"""
text02#0,"""That is a perfect report...<br>Looking at this, I understand how much<br>Patty was a perfect fit..."""
text03#0,"""Now you're also a member of Patty and Tea! You're one hidden character, so to speak!"""
text04#0,"""...I'd rather hide Patty. Or should I say, I'd like to hide her forever.<br>Then you and I would be Patty and Tea..."""
11_voice_NPC_5013_107#0,"""Y-you can't do that, Tea!<br>Wouldn't that make our team<br>name pretty strange?!"""
11_voice_NPC_5014_100#0,"""...then I'd change the team name. Yeah, that'd be the best decision. Hey, so would you like to work with me?"""
text07#0,"""...I'm serious. That's the end of this talk! Your reward! Here's my partner card! I'll also give you Tea's!"""
text08#0,"""Let's keep working together to gather intel!<br>Well, until next time!"""
text01#1,"""おっつかれさまー！<br>いやー、流石はあたしのお眼鏡に<br>適った人だねー、パーフェクトだよ！"""
text02#1,"""文句なしの報告内容……<br>これを見るといかにパティちゃんのが<br>適当だったか、わかる……"""
text03#1,"""これでアナタもパティエンティア！<br>いわゆるひとつの隠しキャラだね！"""
text04#1,"""……むしろパティちゃんを隠したい。<br>というか、ずっと隠しておきたい。<br>そして私とあなたでパティエンティア…"""
11_voice_NPC_5013_107#1,"""だ、ダメだぞおティア！<br>そもそもそれじゃチーム名から<br>おかしくなっちゃうじゃないかー！"""
11_voice_NPC_5014_100#1,"""……じゃあチーム名変えちゃおう。<br>そうだそうしよう、ベストな判断だ。<br>ねえ、私と二人で活動しない？"""
text07#1,"""……目がマジだ。はいこの話ここまで！<br>報酬っ！　あたしのパートナーカード！<br>ティアのも一緒にプレゼントっ！"""
text08#1,"""これからは一緒に情報収集頑張ろうー！<br>それじゃ、まったねー！"""
