11_voice_NPC_5003_104#0,"""Hm... It really is hard to make up your mind<br>when you're choosing skills."""
text02#0,"""I mean, it's not that easy to reset them,<br>so I end up overthinking it to the point<br>of not being able to decide at all."""
text03#0,"""That's why I haven't even learned any skills<br>yet! What a waste, huh?"""
text04#0,"""How about you? You're not sitting on an<br>unused pile of skill points, are you?"""
text05#0,"""Hey, how about you show me the<br>whole skill learning process? <br>Aw, c'mon, please?"""
11_voice_NPC_5003_104#1,"""うーん、やっぱりスキルの選択って<br>悩むもんなんだよなぁ。"""
text02#1,"""そう簡単にはリセットもできないし<br>慎重に、慎重にって考えてたら<br>なーんか使わずに終わっててさ。"""
text03#1,"""……っていうか、おれまだスキル<br>なんにも覚えてないんだよな。<br>もったいなくてさ、へへっ……"""
text04#1,"""相棒、お前は大丈夫か？<br>スキルポイントって、気付かないうちに<br>溜まっちゃってたりするぜ？"""
text05#1,"""ちょうどいいから、確認がてら<br>スキル習得の段取りをおれに<br>見せてくれないか？　なっ、頼むよ。"""
text00#0,"""Skill Points"""
text01#0,"""This is an explanation of skill points.<br><br>Skill points are used to learn ""class skills,""<br>the unique skills for each class.<br><br>Skill points are gained by leveling up<br>and through client orders."""
text02#0,"""You'll need to go to the<br>Class Counter to learn class skills.<br><br>The Class Counter<br>is in the gate area central hall."""
text03#0,"""Use the skill tree at the Class Counter<br>to learn class skills.<br><br>The skill tree is composed of<br>class skill branches.<br><br>It's designed so that when a class skill<br>exceeds a certain level, the next<br>class skill below it can be chosen."""
text04#0,"""Choose a class skill,<br>then increase its level by<br>consuming skill points.<br><br>Not all class skills can<br>be learned, so plan how to use your<br>skill points."""
text00#1,"""スキルポイントについて"""
text01#1,"""スキルポイントについて説明します。<br><br>スキルポイントはクラスごとの特有のスキル、<br>「クラススキル」を習得する為に使用します。<br><br>レベルアップやクライアントオーダーによって<br>スキルポイントを取得出来ます。"""
text02#1,"""クラススキルを習得する為には<br>クラスカウンターに行く必要があります。<br><br>クラスカウンターは<br>ゲートエリア・中央ホールにあります。"""
text03#1,"""クラスカウンターではスキルツリーを操作して<br>クラススキルを習得します。<br><br>スキルツリーとはクラススキルが<br>枝状につながれたツリー表です。<br><br>クラススキルのレベルを一定以上にすると、<br>下につながる次のクラススキルを<br>選べるようになる仕組みになっています。"""
text04#1,"""クラススキルを選択し、<br>スキルポイントを消費する事で<br>習得したりレベルを上げることが出来ます。<br><br>全てのクラススキルを<br>習得出来る訳ではありませんので、<br>スキルポイントは計画的に使用しましょう。"""
