IncidentName#0,"""Destruye la Torre de control"""
TrialBeginMsg#0,"""Buscar y destruye las torres de control<br>infectadas por Darkers."""
TrialAbstract#0,"""Buscar y destruye las torres de control<br>infectadas por Darkers."""
NpcComOnBegin#0,"""¿Esta es la presencia de un Darker? Deben de haber tomado posesion de un ARKS"""
NpcComOnBeginAtRareCase#0,"""Se ha detectado una reaccion Darker anormal. Parece que esta tratando de pasar a otra area, no lo dejes ir!"""
NpcComOnSuccess#0,"""Se confirmo la destruccion de la torre de control. La infeccion en el luchador ha desaparecido tambien. Parece que la situacion esta bajo control."""
NpcComOnFailure#0,"""/face6 Propagacion de infeccion en una nave ARKS confirmada. Eliminela, ya no es posible recuperarla. y retoma tu mision."""
AppearHeli#0,"""¿Una nave ARKS? ¿Que hace aqui?, Algo parece estar mal."""
BreakHeli#0,"""Parece que todo esta bajo control, pero ten cuidado."""
RespawnHeli#0,"""Parece que han aparecido mas..."""
UrgesFindCore#0,"""No tiene sentido atacar a la nave! Busca la torre de control, y destruyela!"""
UrgesArrivalCore1st#0,"""La hubicacion de la torre control ha sido confirmada en $(0). ve y destruyela."""
UrgesArrivalCore#0,"""La hubicacion de la torre de control se confirmo en $(0). Destruyela de inmediato."""
FindCore#0,"""Esa debe ser la torre de control, destruyela de inmediato.!"""
DamagedCore#0,"""Muy bien, vamos a seguir atacando y acabar con esto."""
TimeupWarning#0,"""El tiempo de la transferencia se esta acabando. Si lo dejamos escapar, el daゃo se extendera. Hay que darse prisa!"""
TimeupEmergency#0,"""No nos queda mucho tiempo. Necesitamos apurarnos y destruir el controlador ya."""
