NAME#0,"""Anneliese"""
NICKNAME#0,"""Asesor de Misiones"""
HELLO#0,"""Date prisa y elige!"""
HELLO_FAV0#0,"""Apresurate y escoje!"""
HELLO_FAV1#0,"""Apresurate y escoje!"""
HELLO_FAV2#0,"""Apresurate y escoje!"""
HELLO_FAV3#0,"""Apresurate y escoje!"""
HELLO_FAV4#0,"""Apresurate y escoje!"""
Q0#0,"""Apresurate y escoje!"""
TALK_BYE_QUEST#0,"""ve y hazlo mejor posible, ya escuchaste?!"""
GOODBYE#0,"""Que, ¿Ya te vas?"""
GOODBYE_FAV0#0,"""Que, ¿Ya te vas?"""
GOODBYE_FAV1#0,"""Que, ¿Ya te vas?"""
GOODBYE_FAV2#0,"""Que, ¿Ya te vas?"""
GOODBYE_FAV3#0,"""Que, ¿Ya te vas?"""
GOODBYE_FAV4#0,"""Que, ¿Ya te vas?"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
