linewindow#0,"""Status Ailments"""
text00#0,"""Status Ailments"""
text01#0,"""When characters or enemies are hit by attacks,<br>they are sometimes affected by status ailments."""
text02#0,"""For example, the \""burning\"" status ailment causes the target<br>to burn for a set period of time, inflicting periodic damage.<br>It can also spread to other nearby targets.<br><br>There are a variety of other status ailments, including frozen,<br>shocked, and poisoned."""
text03#0,"""Status ailments generally disappear on their own after a set <br>amount of time. You can also cure yourself or allies using <br>the sol atomizer."""
text04#0,"""The status ailment icons which display in game are as follows:<br><pict ac_burn> : Burn<br><pict ac_frieze> : Freeze<br><pict ac_shock> : Shock<br><pict ac_mirage> : Mirage<br><pict ac_panic> : Panic<br><pict ac_poison> : Poison"""
linewindow#1,"""<br>『状態異常』について<br>"""
text00#1,"""『状態異常』について"""
text01#1,"""状態異常について説明します。<br><br>キャラクターやエネミーは、<br>攻撃を受けた際に、状態異常と呼ばれる<br>変化が発生することがあります。"""
text02#1,"""例えば、状態異常「バーン」ですと、一定時間体が燃え続け<br>定期的にダメージを受けてしまいます。<br>また、近くにいるものにも燃え移る特性があります。<br><br>ほかにも、フリーズ、ショック、ポイズンなど、様々な状態異常があります。"""
text03#1,"""状態異常は、基本的に時間経過で自動的に解除されます。<br>アイテム「ソルアトマイザー」によって、<br>自分と仲間をすぐに回復させることが可能です。"""
text04#1,"""それぞれの状態異常に対応する表示は次のようになります。<br><br>　<pict ac_burn> ：バーン（燃焼）<br>　<pict ac_frieze> ：フリーズ（凍結）<br>　<pict ac_shock> ：ショック（麻痺）<br>　<pict ac_mirage> ：ミラージュ（幻視）<br>　<pict ac_panic> ：パニック（混乱）<br>　<pict ac_poison> ：ポイズン（毒）<br>"""
