WINDOW_TITLE#0,"""¿Que?"""
CLOSE_MENU#0,"""Volver"""
START_CLIENT_ORDER#0,"""Orden del Cliente"""
START_TALK#0,"""Hablar"""
MB_ACCEPT#0,"""Aceptar"""
MB_REPORT#0,"""Reportar"""
MB_REJECT#0,"""Rechazar"""
TICKET_BOARD#0,"""Recibir Pase Extreme """
ARKSROAD#0,"""Sobre las Lecciones de ARKS"""
KNOWLEDGE#0,"""Lecciones privadas de Astarte"""
SHIP_BATTLE_MENU#0,"""ARKS Ship Grand Prix"""
SHOP_PASTRY#0,"""Pasteleria Naura"""
SHAO1#0,"""Ofrecer Cooperacion"""
SHAO2#0,"""Revisar el conocimiento de la base"""
SHAO3#0,"""Compruebe la situacion actual"""
PRESENT_POINT#0,"""Usted recibira un regalo de $(0)."""
PET_LIMIT_BREAK#0,"""Solicitar Pet Limit Break"""
SUMMONER_MENU#0,"""Listen to Summoner Explanation"""
STORY_BOARD#0,"""Story Board"""
EVENT_CHRONICLE#0,"""Event Chronicle"""
SUMMONER_MENU1#0,"""Acerca Pet Personalities"""
GAT_TUTORIAL#0,"""Listen to Gathering Explanation"""
GAT_TUTORIAL1#0,"""Listen to Skill Ring Explanation"""
EQUIP_NOTE#0,"""Coleccion de Armamento"""
EQUIP_NOTE_TUTORIAL#0,"""Sobre el archivo de coleccion"""
ArksLeague#0,"""Recompensas de la Liga"""
ArksLeagueRanking#0,"""Info mas reciente de la Liga"""
Arks_Tut#0,"""Acerca de [Liga de ARKS]"""
INVITE_REWARD#0,"""Cargo por invitacion"""
FCap_Tut#0,"""Sobre \""Copa Famitsu\"""""
GetPokaRankingReward#0,"""バトルランキング報酬を受け取る"""
Celestial_Sphere#0,"""景観を変更する"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
