name01#0,"""Echo"""
name01#1,"""エコー"""
linewindow001#0,"""You've achieved the objective for the client order<br>""Lost and Found."""""
text01#0,"""Oh, <%me>, you're back.<br>And in one piece, too. What a relief."""
text02#0,"""Plus, you found my rod!<br>Thank you so much."""
text03#0,"""But it's still a bit early for your reward. After all,<br>client orders have rules that have to be followed.<br>Remember? Your final report?"""
11_voice_NPC_5002_100#0,"""I'll be waiting in my usual spot, so come see<br>me when you're ready to file it."""
linewindow001#1,"""<br>クライアントオーダー「些細な探しもの」の目標を達成しました。<br>"""
text01#1,"""あ、<%me><br>帰還した？　無事なのね？<br>はぁ、よかったぁ……"""
text02#1,"""あたしのお願いしたものも<br>見つけてきてくれたようで……<br>ほんと、ありがとね。"""
text03#1,"""と、と、お礼なんかはまだ早いかな。<br>クライアントオーダーなんだし<br>しっかりルールは守らないと。"""
11_voice_NPC_5002_100#1,"""それじゃ、いつものところで<br>待ってるから、完了報告、お願いね。"""
