Title#0,"""Kaufmenü"""
Caption1#0,"""Produktname"""
Caption2#0,"""陳列期限"""
Caption3#0,"""Preis"""
PopupItem1#0,"""Ein Rubbellos ziehen - $(1) $(0)"""
PopupItem1_2#0,"""$(2)$(0)でスクラッチを$(1)回引く"""
PopupItem2_1#0,"""Zieht ein AC-Rubbellos. (Aktuelle AC: $(0))"""
PopupItem2_2#0,"""Zieht ein AC-Gold-Rubbellos. (Aktuelle AC: $(0))"""
PopupItem2_3#0,"""Dieses Rubbellos kann nicht mit AC gezogen werden."""
PopupItem2_4#0,"""Zieht ein AC-Platin-Rubbellos. (Aktuelle AC: $(0))"""
PopupItem2_5#0,"""ＡＣスクラッチ券で$(0)回引く(所持数:$(1))"""
PopupItem2_6#0,"""ＡＣスクラッチゴールド券で$(0)回引く(所持数:$(1))"""
PopupItem3#0,"""Preisliste"""
PopupItem4_1#0,"""-"""
PopupItem4_2#0,"""-"""
PopupItem5#0,"""回数ボーナス確認"""
PopupItem6#0,"""スクラッチ情報をWebで確認する"""
Title#1,"""Preisliste"""
Title#2,"""-"""
Caption1#1,"""-"""
Caption2#1,"""-"""
Caption3#1,"""-"""
Title#3,"""Produktinformationen"""
Hotitem_Caption#0,"""Empfohlenes Item"""
GachaBonusCaption#0,"""回数ボーナス"""
GachaBonusNext#0,"""このスクラッチ<yellow>$(0)回<c>でプレゼント！"""
GachaBonusComment#0,"""$(0) など豪華$(1)点セット！"""
GachaBonusCommentNothing#0,"""このスクラッチは回数ボーナスがありません。"""
GachaBonusCommentAchieved#0,"""このスクラッチの回数ボーナスは獲得済みです。"""
CheckProbability_Title#0,"""スクラッチ情報を確認する"""
CheckProbability_Message#0,"""スクラッチ情報を確認するため、<br>ブラウザで以下のURLを開きます。<br><&URL pso2_players_catalog_scratch>"""
CheckProbability_Message_v#0,"""スクラッチ情報を確認するため、<br>ブラウザーで以下のURLを開きます。<br><&URL pso2_players_catalog_scratch><br><red>※アプリケーションを終了して<br>ブラウザーを開きます。<c>"""
CheckProbability_Url#0,"""http://pso2.jp/players/catalog/scratch/"""
Title#4,"""回数ボーナス確認"""
CounterCaption#0,"""このスクラッチを引いた回数"""
CounterNum#0,"""$(0)回"""
Achieved#0,"""達成！"""
NextMore#0,"""あと$(0)回"""
NextMoreMulti#0,"""<space>"""
NextMoreEvery#0,"""あと$(0)回"""
Detail_Exp#0,"""経験値\u3000$(0)"""
Detail_Meseta#0,"""$(0)"""
Detail_CountableItem#0,"""$(0)×$(1)"""
DetailsTitle#0,"""Itemdetails"""
Title#5,"""Kaufbestätigung"""
Message#0,"""<pict Arcscash><c ff4f3f>AC-Inhalt<c><br>$(1) mit $(2)$(0) kaufen.<br>Bist du sicher?"""
Message_Fun#0,"""$(1) mit $(2)$(0) kaufen.<br>Bist du sicher?"""
PassMessage#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>$(0)を<br>$(2)を使用して引きます。<br>よろしいですか？<br>(所持数:$(1))"""
PassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>よろしいですか？<br>(所持数:$(3))"""
RetryMessage#0,"""<pict Arcscash><c ff4f3f>AC-Inhalt<c><br>Einen weiteren $(1) mit $(2)$(0) kaufen.<br>Bist du sicher?"""
RetryMessage_Fun#0,"""続けて$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
RetryPassMessage#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>続けて$(0)を<br>$(2)を使用して引きます。<br>よろしいですか？<br>(所持数:$(1))"""
RetryPassMessage_LotTimes#0,"""<pict Arcscash><c 5fdf00>購入済アイテムの使用<c><br>続けて$(1)連$(0)を<br>$(4)を$(2)枚使用して引きます。<br>よろしいですか？<br>(所持数:$(3))"""
Message_SG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br>$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
RetryMessage_SG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br>続けて$(1)を<br>$(2)$(0)で購入します。<br>よろしいですか？"""
NextBonusMessageFixed#0,"""$(0)<br><br>$(1)"""
NextBonusMessage#0,"""あと<yellow>$(0)回<c>で以下の回数ボーナスをプレゼント！<br><pict $(1)>$(2) $(3)"""
NextBonusOtherNum#0,"""他$(0)種"""
ExplanationMessage#0,"""<c f0df60>Such dir ein Feld aus und rubble es frei!<c>"""
Normal#0,"""Du hast $(0) erhalten!"""
Complete#0,"""$(0) wird verschenkt!"""
Count#0,"""($(0))"""
Title_scratch#0,"""獲得アイテム一覧"""
scratch_message#0,"""以下の景品が当たりました！"""
GachaBonusGet#0,"""スクラッチ回数ボーナス！<br><br>$(0)を獲得しました！<br><br>このスクラッチ$(1)回で次のボーナスがもらえます！"""
GachaBonusGetSimple#0,"""スクラッチ回数ボーナス！<br><br>$(0)を獲得しました！<br><br> """
Title_bonus#0,"""獲得ボーナスアイテム一覧"""
bonus_message#0,"""<yellow>回数ボーナス<c>により<br>以下のアイテムを獲得しました！"""
Title#6,"""Kaufbestätigung"""
Message#1,"""Rubbeln fortsetzen?"""
Title#7,"""AC-Aufladung bestätigen"""
Message#2,"""Nicht genug AC.<br>Möchtest du mehr AC aufladen?"""
Title#8,"""Nachricht"""
Message_E1#0,"""Nicht genug AC."""
Message_E2#0,"""アイテムパックの空き容量不足、<br>または対応するACスクラッチ券が<br>所持数の上限を超えているため<br>購入できません。"""
Message_E3#0,"""スクラッチを引くには<br>倉庫に十分な空き容量が必要です。<br><br>アイテムパックに空き容量があっても<br>スクラッチを引くことはできません。"""
Message_E4#0,"""Nicht genug FUN."""
Message_E5#0,"""Du hast kein Ticket."""
Message_E6#0,"""このスクラッチを引くには、<br>倉庫にアイテム二つ分の<br>空きが必要です。<br>十分に確保してからスクラッチを引いてください。"""
Message_E7#0,"""このスクラッチを引くには、<br>倉庫にアイテム<yellow>$(0)個<c>分の<br>空きが必要です。<br>十分に確保してからスクラッチを引いてください。"""
Message_E0#0,"""Aufgrund eines Problems kannst du das Rubbellos nicht einlösen.<br><br>Dein Lager könnte voll sein."""
Message_E100#0,"""問題が発生したため、<br>スクラッチを引けませんでした。<br><br>時間をおいて再度やり直してください。"""
denomination_1#0,"""AC"""
denomination_2#0,"""FUN"""
denomination_3#0,"""SG"""
none#0,"""Nichts"""
times#0,"""連"""
TimesaleTitle#0,"""タイムセール中！"""
PopupItem1#1,"""<red>$(1)<c>$(0)でスクラッチを引く"""
