NAME#0,"""Picka"""
NICKNAME#0,"""Asesor de Comodidad en Misiones"""
HELLO#0,"""Hola!"""
HELLO_FAV0#0,"""Hola!"""
HELLO_FAV1#0,"""Hola!"""
HELLO_FAV2#0,"""Hola!"""
HELLO_FAV3#0,"""Hola!"""
HELLO_FAV4#0,"""Hola!"""
Q0#0,"""Hola!"""
TALK_BYE_QUEST#0,"""お願いしますね！"""
GOODBYE#0,"""Cuidate por favor!"""
GOODBYE_FAV0#0,"""Cuidate por favor!"""
GOODBYE_FAV1#0,"""Cuidate por favor!"""
GOODBYE_FAV2#0,"""Cuidate por favor!"""
GOODBYE_FAV3#0,"""Cuidate por favor!"""
GOODBYE_FAV4#0,"""Cuidate por favor!"""
RECOMMEND#0,"""Puedo organizar una lista<br>con ordenes adecuadas<br>a tu mision actual"""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
