name01#0,"""Patty"""
name02#0,"""Tea"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5013_100#0,"""We made it to Wopal!<br>We can see something other than scenery<br>we've seen before by coming all together!"""
text02#0,"""Alright, let's keep moving<br>work hard searching!<br>Look out, you two, I'm going!"""
text03#0,"""...Patty doesn't know the meaning<br>of know better, after all.<br>"""
11_voice_NPC_5014_104#0,"""Once again, I'm sorry.<br>We can't just let her go free, so<br>we've got to do what we can."""
11_voice_NPC_5013_100#1,"""はーるばるきたぞー、ウォパルー！<br>三人で来ると、見た事ある景色も<br>別物に見えるねー！"""
text02#1,"""よーっし、どんどん進んで<br>バリバリ調べよう！<br>ほらー、二人とも、行くよー！"""
text03#1,"""……パティちゃん、やっぱり<br>わきまえるって言葉の意味<br>わかってない。"""
11_voice_NPC_5014_104#1,"""毎度毎度、すみません。<br>放っておくわけにもいきませんし<br>私たちが、頑張りましょう。"""
