name01#0,"""Zeno"""
name01#1,"""ゼノ"""
11_voice_NPC_5001_100#0,"""Thanks, <%me>.<br>That was a nice change of pace."""
text02#0,"""You know, it's kind of crazy when I think of<br>how many times my mentor's advice has<br>saved my hide."""
text03#0,"""I've never figured out how much of it was<br>tailored to me specifically, and how much<br>of it was just good sense."""
text04#0,"""Anyway, when you're ready for your reward,<br>come and find me at my usual spot."""
text05#0,"""Don't worry, I'm good for it."""
11_voice_NPC_5001_100#1,"""<%me><br>サンキューな、いい気分転換になった。"""
text02#1,"""しっかし、師匠に教わったことが<br>だいたいドンピシャで役に立つってのも<br>なかなか怖い話だよな。"""
text03#1,"""そんだけ俺の動きが読みやすい、って<br>だけなのかもしれないけどよ。"""
text04#1,"""おおっと、そんなことより報酬だな。<br>んじゃ、いつもの場所で待ってるから<br>好きなときに来てくれ。"""
text05#1,"""これは俺からの依頼だからな。<br>きちんと報酬も用意してあるぜ。"""
